bom_row_id,row_uid,candidate_id,broad_component,source_term,subpart,evidence_class,evidence_weight,family_assignment,family_status,assignment_confidence,source_visible_construction,uncertainty_type,panel_interface_class
R294,R294,FC-08-2019_59,foot,ball foot,,VISIBLE,1.0,foot.turned_separate_dowelled,RANKABLE,proven,yes,,
R405,R405.a,FC-10-1984_161,foot,turned ball foot,front pair - turned ball foot dowelled into the plinth,PARTIALLY VISIBLE,0.5,foot.turned_separate_dowelled,RANKABLE,proven,yes,,
R064,R064.a,FC-03-2011_3,foot,,rear pair - applied turned bun under each rear post,VISIBLE,1.0,foot.turned_separate_dowelled,RANKABLE,proven,yes,,
R023,R023,FC-01-1999_488,foot,turned toe,,VISIBLE,1.0,foot.turned_integral_with_leg,RANKABLE,proven,yes,,
R064,R064.b,FC-03-2011_3,foot,,front pair - integral turned ovoid toe of the leg,VISIBLE,1.0,foot.turned_integral_with_leg,RANKABLE,proven,yes,,
R051,R051,FC-02-67_230,foot,,,VISIBLE,1.0,foot.turned_interface_unresolved,AUDIT_ONLY,unresolved,no,construction,
R161,R161,FC-05-69_146_3,foot,turned bun foot,,VISIBLE,1.0,foot.turned_interface_unresolved,AUDIT_ONLY,unresolved,no,construction,
R414,R414,FC-11-10_125_133,foot,turned ball foot,,VISIBLE,1.0,foot.turned_interface_unresolved,AUDIT_ONLY,unresolved,no,construction,
R193,R193.a,FC-06-69_146_2,foot,turned foot,"front pair - turned foot, square section transitions into it",PARTIALLY VISIBLE,0.5,foot.turned_interface_unresolved,AUDIT_ONLY,unresolved,no,construction,
R322,R322.a,FC-09-69_146_1,foot,turned foot,three turned feet with bored castor socket,VISIBLE,1.0,foot.turned_with_castor_socket,RANKABLE,proven,yes,,
R137,R137.b,FC-04-1972_47,foot,paw foot,flat circular disc pad under the paw,VISIBLE,1.0,foot.disc_pad_separable,RANKABLE,proven,yes,,
R429,R429,FC-12-2002_298_1,foot,gilt-brass base / lower moulding,,VISIBLE,1.0,foot.spun_metal_base,RANKABLE,proven,yes,,
R240,R240,FC-07-1999_79,foot,,,VISIBLE,1.0,termination.leg_toe_prismatic,RANKABLE,proven,yes,,
R105,R105.b,FC-03-30_120_59,foot,claw-and-ball foot,"rear legs - chamfered taper, no foot part",VISIBLE,1.0,termination.leg_toe_prismatic,RANKABLE,proven,yes,,
R242,R242,FC-08-69_140ab,post,,,VISIBLE,1.0,post.case_corner_structural_joined,RANKABLE,proven,yes,,
R191,R191,FC-06-69_146_2,post,reeded corner pilaster/stile,,PARTIALLY VISIBLE,0.5,post.case_corner_structural_joined,RANKABLE,proven,yes,,
R159,R159,FC-05-69_146_3,post,front corner stile / pilaster,,VISIBLE,1.0,post.carcase_unresolved,AUDIT_ONLY,unresolved,no,construction,
R270,R270.a,FC-08-2019_59,post,,"carcase corner post, masked on the facade",PARTIALLY VISIBLE,0.5,post.carcase_unresolved,AUDIT_ONLY,unresolved,no,construction,
R270,R270.b,FC-08-2019_59,post,,applied pilaster face strip,PARTIALLY VISIBLE,0.5,pilaster.applied_face_strip,RANKABLE,proven,yes,,
R360,R360,FC-10-1971_281,post,muntin,,VISIBLE,1.0,muntin.panel_grooved,RANKABLE,proven,yes,,
R378,R378,FC-10-1984_161,post,muntin (intermediate front upright),,VISIBLE,1.0,muntin.panel_grooved,RANKABLE,proven,yes,,
R073,R073,FC-03-2011_3,post,back muntin,,VISIBLE,1.0,muntin.upholstery_tacking,RANKABLE,proven,yes,,
R002,R002,FC-01-1999_488,post,,,VISIBLE,1.0,armpost.on_seat_rail_short,RANKABLE,proven,yes,,
R096,R096.a,FC-03-30_120_59,post,arm support / back post,two tapered front cone-stump arm posts on the side seat rails,VISIBLE,1.0,armpost.on_seat_rail_short,RANKABLE,proven,yes,,
R096,R096.b,FC-03-30_120_59,post,arm support / back post,two wide flat rear posts tying the arm to the back frame,VISIBLE,1.0,armpost.rear_tied_to_back_frame,RANKABLE,proven,yes,,
R028,R028,FC-01-2012_216,post,back stile (show-wood),,VISIBLE,1.0,stile.continuous_curved_arm_back,RANKABLE,proven,yes,,
R027,R027,FC-01-2012_216,rail,arm rail,,VISIBLE,1.0,stile.continuous_curved_arm_back,RANKABLE,proven,yes,,
R096,R096.c,FC-03-30_120_59,post,arm support / back post,"one central back post, crest to rear seat rail",VISIBLE,1.0,post.back_intermediate,RANKABLE,proven,yes,,
R300,R300,FC-09-69_146_1,post,footpost,,VISIBLE,1.0,post.bed_stacked_block,RANKABLE,proven,yes,,
R333,R333,FC-09-1954_151,post,,,VISIBLE,1.0,post.bed_square_fluted,RANKABLE,proven,yes,,
R299,R299,FC-09-69_146_1,rear leg/stile,headboard post / canopy support,,VISIBLE,1.0,post.bed_square_fluted,RANKABLE,proven,yes,,
R413,R413,FC-11-10_125_133,post,medial post (slimmer turned upright at the middle of each long side; the gate's pivot bearing),,VISIBLE,1.0,post.turned_pivot_gate,RANKABLE,proven,yes,,
R124,R124,FC-04-1972_47,post,trestle standard,,VISIBLE,1.0,trestle.splayed_board_standard,RANKABLE,proven,yes,,
R125,R125,FC-04-1972_47,post,pier / pedestal under the drawer carcase,,PARTIALLY VISIBLE,0.5,pier.midspan_support,RANKABLE,unresolved,no,construction,
R215,R215,FC-07-1999_79,post,,,VISIBLE,1.0,support.shelf_stick,RANKABLE,proven,yes,,
R192,R192,FC-06-69_146_2,post,interior vertical partition between drawer banks,,PARTIALLY VISIBLE,0.5,partition.interior_vertical,AUDIT_ONLY,unresolved,no,construction,
R095,R095.a,FC-03-30_120_59,rear leg/stile,,two END members continuous crest-to-floor,VISIBLE,1.0,stile.continuous_leg_and_stile,RANKABLE,proven,yes,,
R160,R160.a,FC-05-69_146_3,rear leg/stile,rear stile,"left rear stile, continuous cornice-to-floor",PARTIALLY VISIBLE,0.5,stile.continuous_leg_and_stile,RANKABLE,proven,yes,,
R214,R214.a,FC-07-1999_79,rear leg/stile,,"front corner stiles, continuous leg-and-stile",PARTIALLY VISIBLE,0.5,stile.continuous_leg_and_stile,RANKABLE,proven,yes,,
R412,R412,FC-11-10_125_133,rear leg/stile,gate leg (the swinging gate's continuous leg-and-stile),,VISIBLE,1.0,stile.continuous_leg_and_stile,RANKABLE,proven,yes,,
R025,R025,FC-01-2012_216,rear leg/stile,,,VISIBLE,1.0,stile.separate_rear_leg,RANKABLE,proven,yes,,
R063,R063,FC-03-2011_3,rear leg/stile,,,VISIBLE,1.0,stile.separate_rear_leg,RANKABLE,proven,yes,,
R144,R144,FC-04-1969_262,rear leg/stile,square tapered leg,,VISIBLE,1.0,stile.separate_rear_leg,RANKABLE,proven,yes,,
R336,R336,FC-09-1954_151,rear leg/stile,,,VISIBLE,1.0,stile.separate_rear_leg,RANKABLE,proven,yes,,
R095,R095.b,FC-03-30_120_59,rear leg/stile,,"centre rear leg, separate raked member",VISIBLE,1.0,stile.separate_rear_leg,RANKABLE,proven,yes,,
R359,R359,FC-10-1971_281,rear leg/stile,corner stile,,VISIBLE,1.0,stile.case_corner_board,RANKABLE,proven,yes,,
R377,R377,FC-10-1984_161,rear leg/stile,corner stile / post,,PARTIALLY VISIBLE,0.5,stile.case_corner_board,RANKABLE,unresolved,no,construction,
R376,R376,FC-10-1971_281,foot,NOT STATED,,VISIBLE,1.0,stile.case_corner_board,RANKABLE,proven,yes,,
R295,R295,FC-08-2019_59,rear leg/stile,,,VISIBLE,1.0,board.plain_back,RANKABLE,proven,yes,,
R001,R001,FC-01-1999_488,rear leg/stile,,,PARTIALLY VISIBLE,0.5,stile.continuity_unresolved,AUDIT_ONLY,unresolved,no,construction,
R066,R066.a,FC-03-2011_3,rail,seat rail,"front and side seat rails, gilt show faces",VISIBLE,1.0,seatframe.closed_frame_assembly,RANKABLE,proven,yes,,
R066,R066.b,FC-03-2011_3,rail,seat rail,"rear seat rail, bare secondary wood",VISIBLE,1.0,seatframe.closed_frame_assembly,RANKABLE,proven,yes,,
R097,R097,FC-03-30_120_59,rail,seat rails,,VISIBLE,1.0,seatframe.closed_frame_assembly,RANKABLE,proven,yes,,
R052,R052.a,FC-02-67_230,rail,,"front and two side rails, mitred closed box",PARTIALLY VISIBLE,0.5,seatframe.closed_frame_assembly,RANKABLE,unresolved,no,construction,
R003,R003,FC-01-1999_488,rail,side seat rail,,VISIBLE,1.0,seatframe.closed_frame_assembly,RANKABLE,proven,yes,,
R004,R004,FC-01-1999_488,rail,front seat rail (upholstered over),,PARTIALLY VISIBLE,0.5,seatframe.closed_frame_assembly,RANKABLE,unresolved,no,construction,
R003,R003,FC-01-1999_488,rail,side seat rail,,VISIBLE,1.0,rail.seat_tenoned,RANKABLE,proven,yes,,
R066,R066.a,FC-03-2011_3,rail,seat rail,"front and side seat rails, gilt show faces",VISIBLE,1.0,rail.seat_tenoned,RANKABLE,proven,yes,,
R066,R066.b,FC-03-2011_3,rail,seat rail,"rear seat rail, bare secondary wood",VISIBLE,1.0,rail.seat_tenoned,RANKABLE,proven,yes,,
R004,R004,FC-01-1999_488,rail,front seat rail (upholstered over),,PARTIALLY VISIBLE,0.5,rail.seat_tenoned,RANKABLE,unresolved,no,construction,
R097,R097,FC-03-30_120_59,rail,seat rails,,VISIBLE,1.0,rail.seat_pinned,RANKABLE,proven,yes,,
R052,R052.a,FC-02-67_230,rail,,"front and two side rails, mitred closed box",PARTIALLY VISIBLE,0.5,rail.seat_mitred_box,RANKABLE,unresolved,no,construction,
R163,R163,FC-05-69_146_3,rail,drawer divider rail,,VISIBLE,1.0,rail.drawer_divider,RANKABLE,proven,yes,,
R194,R194,FC-06-69_146_2,rail,drawer divider rail / front rail,,VISIBLE,1.0,rail.drawer_divider,RANKABLE,proven,yes,,
R216,R216.b,FC-07-1999_79,rail,,rails above and below the drawers (2+2),PARTIALLY VISIBLE,0.5,rail.drawer_divider,RANKABLE,unresolved,no,construction,
