packet	status	department	owner	source_commit	source_review	docs_commit	docs_review	blocked_reason	next_action	updated
65_native_floor_wall_mesh_asset_binding	complete	integration	finisher	75fea578	PASS	55e6348c	not_requested		closed source and docs after native floor/wall mesh asset binding	2026-06-19
66_native_static_model_policy_scout	complete	integration	finisher	36e5881f	PASS-planner	da381e3f	not_requested		closed source and docs after native static model policy	2026-06-19
67_native_static_model_loader_scout	complete	integration	finisher	8b125b81	PASS-planner	02cdd582	not_requested		closed source and docs after native static model load report	2026-06-19
68_native_static_asset_next_boundary_scout	complete	integration	finisher	2766132a	PASS-planner	c2cb68d3	not_requested		closed source and docs after native static model load report CLI	2026-06-19
69_native_static_asset_format_dependency_scout	complete	integration	finisher	d743a279	PASS-planner	ff611ae9	not_requested		closed source and docs after native static mesh text writer	2026-06-19
70_native_static_mesh_authoring_export_scout	complete	integration	finisher	bfa660be	PASS-planner	4fbaffa7	not_requested		closed source and docs after native static mesh fixture writer roundtrip	2026-06-19
71_native_static_mesh_export_cli_scout	complete	integration	finisher	f651f706	PASS-planner	89b7a4ca	not_requested		closed source and docs after native static mesh built-in export CLI	2026-06-19
72_native_static_asset_authoring_policy_scout	complete	integration	finisher	64ce4594	PASS-planner	87f4a62f	not_requested		closed source and docs after native static mesh export policy	2026-06-19
73_native_static_mesh_file_export_scout	complete	integration	finisher	7c4e586b	PASS-planner	2c3a156c	not_requested		closed source and docs after native static mesh output directory export CLI	2026-06-19
74_native_static_asset_next_boundary_scout	complete	integration	finisher	00a8362e	PASS-planner	eb119089	not_requested		closed source and docs after native static mesh built-in batch export CLI	2026-06-19
75_native_static_asset_next_boundary_scout	complete	integration	finisher	93ebc30c	PASS-planner	d6f4df72	not_requested		closed source and docs after native static mesh export report CLI	2026-06-19
76_native_static_asset_next_boundary_scout	complete	integration	finisher	06358d91	PASS-planner	d72f3409	not_requested		closed source and docs after native static mesh export policy validation	2026-06-19
77_native_static_mesh_export_manifest_scout	complete	integration	finisher	c6405f68	PASS-planner	a17b8acd	not_requested		closed source and docs after native static mesh export manifest text builder	2026-06-19
78_native_static_mesh_export_sidecar_scout	complete	integration	finisher	36b27365	PASS-planner	0645bde6	not_requested		closed source and docs after native static mesh batch manifest sidecar export	2026-06-19
79_native_static_asset_next_boundary_scout	complete	integration	finisher	aba6d838	PASS-planner	bbca8fbe	not_requested		closed source and docs after native static mesh export directory verification CLI	2026-06-19
80_native_static_asset_next_boundary_scout	complete	integration	finisher	7f857f93	PASS-planner	8225eafc	not_requested		closed source and docs after native static mesh export verification report CLI	2026-06-19
81_native_static_asset_next_boundary_scout	complete	integration	finisher	9e8be8f7	PASS-planner	7f2733f5	not_requested		closed source and docs after native static mesh export package policy	2026-06-19
82_native_static_asset_next_boundary_scout	complete	integration	finisher	d8fcec89	PASS-planner	ee2995d5	not_requested		closed source and docs after native static mesh export package manifest text builder	2026-06-19
83_native_static_asset_next_boundary_scout	complete	integration	finisher	a1801e2d	PASS-planner	94f52638	not_requested		closed source and docs after native static mesh batch package manifest sidecar export	2026-06-20
84_native_static_asset_next_boundary_scout	complete	integration	finisher	358b6512	PASS-planner	b376e54a	not_requested		closed source and docs after native static mesh package sidecar verification	2026-06-20
85_native_static_asset_next_boundary_scout	complete	integration	finisher	0e032380	PASS-planner	cdb4161d	not_requested		closed source and docs after native static mesh verification summary sidecar diagnostics	2026-06-20
86_native_static_asset_next_boundary_scout	complete	integration	finisher	8cf216a0	PASS-planner	b04a4e3c	not_requested		closed source and docs after native static mesh package manifest text reader	2026-06-20
87_native_static_asset_next_boundary_scout	complete	integration	finisher	6bf5c2fb	PASS-planner	a8946ca4	not_requested		closed source and docs after native static mesh package manifest file reader	2026-06-20
88_native_static_asset_next_boundary_scout	complete	integration	finisher	e8e0a922	PASS-planner	28255574	not_requested		closed source and docs after native static mesh package manifest verification reader diagnostics	2026-06-20
89_native_static_asset_next_boundary_scout	complete	integration	finisher	693fca5c	PASS-planner	ff9772aa	not_requested		closed source and docs after native static mesh verification package read issue rows	2026-06-20
90_native_static_asset_next_boundary_scout	complete	integration	finisher	1f0aeb55	PASS-planner	69aa7e53	not_requested		closed source and docs after native static mesh package directory reader	2026-06-20
91_native_static_asset_next_boundary_scout	complete	integration	finisher	273db1df	PASS-planner	4dd2bcb5	not_requested		closed source and docs after native static mesh package directory report builder	2026-06-20
92_native_static_asset_next_boundary_scout	complete	integration	finisher	3beafe78	PASS-planner	b414e648	not_requested		closed source and docs after native static mesh package directory report CLI	2026-06-20
93_native_static_asset_next_boundary_scout	complete	integration	finisher	4fc98ce4	PASS-planner	754478b5	not_requested		closed source and docs after native static mesh package directory presence diagnostics	2026-06-20
94_native_static_asset_next_boundary_scout	complete	integration	finisher	4336c513	PASS-planner	6c0ccc86	not_requested		closed source and docs after native static mesh package directory file fact diagnostics	2026-06-20
95_native_static_asset_next_boundary_scout	complete	integration	finisher	1229e0ac	PASS-planner	b7c4feaa	not_requested		closed source and docs after native static mesh export manifest text reader	2026-06-20
96_native_static_asset_next_boundary_scout	complete	integration	finisher	442c014c	PASS-planner	9332a92a	not_requested		closed source and docs after native static mesh export manifest file reader	2026-06-20
97_native_static_asset_next_boundary_scout	complete	integration	finisher	4dadf5c9	PASS-planner	58ebdc77	not_requested		closed source and docs after native static mesh package directory manifest read diagnostics	2026-06-20
98_native_static_asset_next_boundary_scout	complete	integration	finisher	ae27d03b	PASS-planner	0b933da4	not_requested		closed source and docs after native static mesh package directory manifest asset rows	2026-06-20
99_native_static_asset_next_boundary_scout	complete	integration	finisher	739e27f7	PASS-planner	f6274071	not_requested		closed source and docs after native static mesh package directory manifest row comparison diagnostics	2026-06-20
100_native_static_asset_next_boundary_scout	complete	integration	finisher	76650efc	PASS-planner	6ae30d01	not_requested		closed source and docs after native static mesh package directory comparison issue count diagnostics	2026-06-20
101_native_static_asset_next_boundary_scout	complete	integration	finisher	e34f5ba4	PASS-planner	a1cb5a89	not_requested		closed source and docs after native static mesh package directory manifest comparison helper	2026-06-20
102_native_static_asset_next_boundary_scout	complete	integration	finisher	c7839fed	PASS-planner	c9f60552	not_requested		closed source and docs after native static mesh package directory structured manifest diagnostics	2026-06-20
103_native_static_asset_next_boundary_scout	complete	integration	finisher	43ac5cb6	PASS-planner	dd21e3a2	not_requested		closed source and docs after native static mesh package directory structured file facts	2026-06-20
104_native_static_asset_next_boundary_scout	complete	integration	finisher	554b746d	PASS-planner	2bab936d	not_requested		closed source and docs after native static mesh package directory report text renderer extraction	2026-06-20
105_native_static_asset_next_boundary_scout	complete	integration	finisher	689988c0	PASS-planner	fecf15ff	not_requested		closed source and docs after native static mesh package directory report data builder extraction	2026-06-20
