family	title	author	date	holder	url	license	note
cathedral_construction	Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle (10 vols)	Eugène Viollet-le-Duc	1854-1868 (1875 pr.)	Internet Archive (Getty) + fr.Wikisource	https://archive.org/details/raisonnedelarchi01viol	PD (Getty scan; no explicit field)	Complete 10-vol set (ids ...01viol-10viol); thousands of cutaway construction woodcuts, vaults, moldings; fr.wikisource.org has full transcription with images extracted
cathedral_construction	Album/portfolio of Villard de Honnecourt (MS Fr 19093)	Villard de Honnecourt	c.1225-35 (MS scan)	Gallica (BnF)	https://gallica.bnf.fr/ark:/12148/btv1b10509412z	domaine public (BnF std terms)	Full-color 13th-c. master-mason's sketchbook; geometry recipes, machines, choir plans; Willis 1859 English ed at IA facsimileofsketc00vill
cathedral_construction	Lehrbuch der gotischen Konstruktionen / Manual of Gothic Construction (2 vols Engl.)	G. G. Ungewitter (tr. N. C. Ricker)	1864/1890-92; Engl. 1920	Internet Archive	https://archive.org/details/manualofgothicco01unge	"In public domain. Work published prior to 1923."	THE Gothic construction textbook in English; masonry coursing, vault setting-out, tracery, roofs; German 1864 ed w/ 47-plate atlas at 10059596bsb
cathedral_construction	The Open Timber Roofs of the Middle Ages	Raphael Brandon	1849	Internet Archive	https://archive.org/details/opentimberroofso00bran	PD (pre-1931 imprint)	Perspective AND measured working drawings of church timber roof types with joint sections
cathedral_construction	The Construction of Lombard and Gothic Vaults	Arthur Kingsley Porter	1911	Internet Archive	https://archive.org/details/constructionoflo00port	PD (pre-1931 imprint)	Vault construction analysis with centering/formwork diagrams; also gri_33125007608009
cathedral_construction	On the Construction of the Vaults of the Middle Ages	Robert Willis	1842 (1910 reprint scan)	Internet Archive	https://archive.org/details/cu31924015335445	PD (pre-1931 imprint)	Foundational rib-vault setting-out geometry paper; diagrams of rib curvature and severies
gothic_detail	Dictionnaire raisonné du mobilier français (6 vols)	Eugène Viollet-le-Duc	1858-1875	Gallica (BnF)	https://gallica.bnf.fr/ark:/12148/bpt6k2004701	domaine public (BnF std terms)	Complete on Gallica (T1-T6); engraved furniture, ironwork, arms, armor (vols 5-6); IA has vols 1,3,4,5 only
gothic_detail	An Analysis of Gothick Architecture (2 vols)	Raphael & J. Arthur Brandon	1847	Internet Archive (Getty)	https://archive.org/details/analysisofgothic01bran	PD (Getty scan; no explicit field)	~700 engraved plates of piers, windows, doors, moldings; vol2=analysisofgothic02bran; vol1 copy lacks 2 plates
gothic_detail	Gothic Architecture in England	Francis Bond	1905	Internet Archive	https://archive.org/details/gothicarchitectu00bond	PD (pre-1931 imprint)	1254 figures: element-by-element analysis, molding profiles, vault diagrams, dated plans
gothic_detail	An Introduction to English Church Architecture (2 vols)	Francis Bond	1913	Internet Archive	https://archive.org/details/introductiontoen01bond	PD (pre-1931 imprint)	Vol2=introductiontoen02bonduoft; per-element chapters (fonts, roofs, screens) with 1400+ photos and drawings
gothic_detail	A Glossary of Terms used in Grecian Roman Italian and Gothic Architecture (5th ed, 3 vols)	John Henry Parker	1850	Internet Archive	https://archive.org/details/b33486669_0001	PD (pre-1931 imprint)	Text vol + TWO plates vols (b33486669_0002/_0003); ~500 named-element engravings, term-to-image dictionary
gothic_detail	A Manual of Gothic Moldings	F. A. Paley	1845 (eds to 1902)	Internet Archive	https://archive.org/details/manualofgothicmo00pale_0	PD (pre-1931 imprint)	Sheets of dated molding cross-section profiles by period; direct sweep-profile source
gothic_detail	Gothic Ornaments (2 vols)	J. K. Colling	1848-1850	Internet Archive	https://archive.org/details/gothicornamentsb01colluoft	PD (pre-1931 imprint)	Vol2=gothicornamentsb02colluoft; lithographed carved ornament, crockets, bosses, capitals
gothic_detail	Details of Gothic Architecture measured and drawn (2 vols)	J. K. Colling	1851-1856	Internet Archive	https://archive.org/details/detailsofgothica01coll_0	PD (pre-1931 imprint)	Measured drawings of arcades, doorways, screens with dimensions; vol2=detailsofgothica02coll_0
gothic_detail	Art Foliage / Examples of English Mediaeval Foliage	J. K. Colling	1873/1874	Internet Archive	https://archive.org/details/examplesofenglis00coll	PD (pre-1931 imprint)	Geometric analysis of carved foliage + colored decoration; sculpt reference; Art Foliage=cu31924032183646
gothic_detail	A Treatise on the Rise and Progress of Decorated Window Tracery / Decorated Windows	Edmund Sharpe	1849	Internet Archive	https://archive.org/details/treatiseonrisepr00shar	PD (pre-1931 imprint)	Window tracery construction geometry, 97 woodcuts + steel plates; companion plates vol at gri_33125016431344
gothic_detail	Specimens of Gothic Architecture (2 vols)	A. C. Pugin (w/ E. J. Willson)	1821-1823	Internet Archive	https://archive.org/details/specimensofgothi00pugi	PD (pre-1931 imprint)	Dimensioned measured plates of English Gothic details drawn for practicing architects
cathedral_monographs	The Architectural Antiquities of Great Britain (5 vols)	John Britton	1807-1826	Internet Archive	https://archive.org/details/architecturalant01brit	PD (pre-1931 imprint)	Vols 01-05brit; fine engravings with plans/elevations of abbeys and churches
cathedral_monographs	Cathedral Antiquities series	John Britton	1814-1835	Internet Archive	https://archive.org/details/cathedralantiqui01brit	PD (pre-1931 imprint)	Per-cathedral engraved plans, sections, elevations (14 English cathedrals); IA volume labels jumbled — check per item
gothic_detail	Illustrations of Baptismal Fonts (introductory essay by F. A. Paley)	John Weale (pub.); F. A. Paley	1844	Internet Archive	https://archive.org/details/illustrationsofb00pale	PD (pre-1931 imprint)	125 engravings of fonts by period with descriptions; found via the ad leaves in Paley's Mouldings. Duplicate copy at illustrationsofb00comb; see also Simpson 1828 seriesofancientb00simp
gothic_detail	Instrumenta Ecclesiastica	Cambridge Camden Society (ed.)	1847	Internet Archive	https://archive.org/details/instrumentaeccl00socigoog	PD; Google non-commercial front matter	WORKING DESIGNS for church furniture, fittings and decorations — quarto plates issued in parts; found via the ad leaves in Paley's Mouldings. Kit-source for church interiors
cathedral_monographs	Bell's Cathedral Series (~30 guides)	various (G. Bell & Sons)	1896-1910	Project Gutenberg	https://www.gutenberg.org/ebooks/23668	Public domain in the USA	Per-cathedral guides with measured ground plans + photos; Salisbury 23668, York 19420, Durham 20191, Lincoln 43477, Exeter 19424, Ely 21003, Wells 32280, more in companion doc
cathedral_monographs	Die kirchliche Baukunst des Abendlandes (2 text + 5 atlas vols, 601 plates)	Georg Dehio & Gustav von Bezold	1887-1901	Heidelberg digi (UB Heidelberg)	https://digi.ub.uni-heidelberg.de/diglit/dehio1887ga	PD (Heidelberg std; page blocked bot check)	Largest corpus of scaled medieval church plans/sections in print; atlas1-5 at diglit/dehio1887atlas1 ... dehio1901atlas5; IA fallback diekirchlicheba00bezogoog
cathedral_monographs	The Churches of the Middle Ages (2 vols)	Henry Bowman & J. S. Crowther	1845-1857	Internet Archive (Getty)	https://archive.org/details/gri_33125016336048	PD (Getty scan)	Complete measured working drawings of English parish churches: plans, sections, details; sibling gri_ ids 336063/336295/336303
general_history	Histoire de l'architecture (2 vols)	Auguste Choisy	1899	Gallica (BnF) + Internet Archive	https://gallica.bnf.fr/ark:/12148/bpt6k6417116t	domaine public / PD Mark 1.0 (IA copy)	Axonometric cutaway construction drawings; T2=bpt6k6584016q; IA histoire-de-larchitecture has both tomes in one PDF
general_history	An Attempt to Discriminate the Styles of English Architecture (5th ed)	Thomas Rickman	1848 (1st 1817)	Internet Archive	https://archive.org/details/stylesofarchitec00rick	PD (pre-1931 imprint)	Defined Norman/EE/Decorated/Perpendicular; steel-engraved element plates; 1817 1st ed at gri_33125009359387
general_history	A History of Architecture on the Comparative Method (5th/6th ed)	Banister Fletcher	1905/1921	Internet Archive	https://archive.org/details/historyofarchite00fletuoft	PD (pre-1931 imprint)	Comparative plates: plans/sections/details side-by-side at scale; 6th ed 1921=historyofarchite00flet_0
general_history	An Encyclopaedia of Architecture (Papworth rev.)	Joseph Gwilt	1888 (1st 1842)	Internet Archive	https://archive.org/details/encyclopaediaofa00gwil	PD (pre-1931 imprint)	Construction math, masonry/carpentry practice, ~1700 woodcuts incl. tracery geometry
medieval_houses	Some Account of Domestic Architecture in England (3 works in 4 vols)	T. Hudson Turner; John Henry Parker	1851-1859	Internet Archive (Getty/library scans)	https://archive.org/details/someaccountofdom00turn	PD (IA: NOT_IN_COPYRIGHT)	Engraved views, plans, window/fireplace/doorway details of 12th-15th c. English houses; vols at someaccountofdom00park_0, someaccountofdom01park, someaccountofdom02park
medieval_houses	An Analysis of Ancient Domestic Architecture in Great Britain (2 vols)	F. T. Dollman; J. R. Jobbins	1861-1863	Internet Archive (UofT)	https://archive.org/details/analysisofancien01dolluoft	PD (IA: NOT_IN_COPYRIGHT)	Measured plans, elevations, sections, large details of medieval town houses, inns, domestic buildings; vol 2 = analysisofancien02dolluoft
medieval_houses	The Habitations of Man in All Ages (tr. Bucknall)	E. Viollet-le-Duc	1876	Internet Archive	https://archive.org/details/habitationsofman00viol	PD (IA: NOT_IN_COPYRIGHT)	103 wood-engraved reconstruction views and framing diagrams of dwellings incl. medieval timber houses; speculative reconstructions
medieval_houses	The Growth of the English House 1100-1800	J. Alfred Gotch	1909	Internet Archive	https://archive.org/details/growthofenglishh00gotc	PD (IA: NOT_IN_COPYRIGHT)	Photos and plans tracing hall-house to Renaissance plan evolution; connective survey for whole-building massing
tudor_halftimber	The Domestic Architecture of England during the Tudor Period (v.1 of 2)	Thomas Garner; Arthur Stratton	1911	Internet Archive (Getty)	https://archive.org/details/gri_33125010766489	PD (IA: NOT_IN_COPYRIGHT)	Folio photos plus true measured plans, elevations, sections, moulding profiles of Tudor mansions; v.2 not digitized free
tudor_halftimber	The Domestic Architecture of England during the Tudor Period (1923 plate selection)	Garner & Stratton (Boston Architectural Club reissue)	1923	Internet Archive	https://archive.org/details/domesticarchitec1923bost	CC BY 3.0 mark; content PD	158 selected Garner-Stratton photo/drawing plates; partial substitute for the missing volume 2
tudor_halftimber	The Mansions of England in the Olden Time (4 series)	Joseph Nash	1839-1849	Internet Archive (Getty)	https://archive.org/details/gri_33125012901845	PD (IA: NOT_IN_COPYRIGHT)	Tinted lithographs of Tudor halls, galleries, porches with figures; mood and set-dressing reference, not measured; series ids ...845/852/860/878
