family	building	place	element	value_original	unit_original	value_m	parse	source	confidence	quote
hall_manor	Penshurst Place great hall	Penshurst, Kent	internal length	64	ft	19.507	ft	dollman_v2 leaf 46 text	text	
hall_manor	Penshurst Place great hall	Penshurst, Kent	internal width	38 ft 9 in	ft in	11.811	ft-in	dollman_v2 leaf 46 text	text	
hall_manor	Penshurst Place great hall	Penshurst, Kent	floor to ridge of roof	48	ft	14.630	ft	dollman_v2 leaf 46 text	text	
hall_manor	Penshurst Place great hall	Penshurst, Kent	internal length, inner face of service-range wall to inner face of far end wall, including the screens passage	64 ft 0 in	ft in	19.507	ft-in	dollman_v2 leaf 52 plate	printed	
hall_manor	Penshurst Place great hall	Penshurst, Kent	internal width on the plan, at the dais line	38 ft 8 in	ft in	11.786	ft-in	dollman_v2 leaf 52 plate	printed	
hall_manor	Penshurst Place great hall	Penshurst, Kent	internal width on the transverse section	38 ft 9 in	ft in	11.811	ft-in	dollman_v2 leaf 56 plate	printed	
hall_manor	Penshurst Place great hall	Penshurst, Kent	ridge down to top of figure-corbel capital, i.e. springing of the arched principal / wall-plate level	32 ft 0 in	ft in	9.754	ft-in	dollman_v2 leaf 56 plate	printed	
hall_manor	Penshurst Place great hall roof	Penshurst, Kent	purlin at A, larger profile, across	1 ft 7 in	ft in	0.483	ft-in	dollman_v2 leaf 56 plate	printed	
hall_manor	Penshurst Place great hall roof	Penshurst, Kent	purlin at A, larger profile, deep	1 ft 8 1/2 in	ft in	0.521	ft-in	dollman_v2 leaf 56 plate	printed	
hall_manor	Penshurst Place great hall roof	Penshurst, Kent	purlin at A, smaller profile, deep	1 ft 2 in	ft in	0.356	ft-in	dollman_v2 leaf 56 plate	printed	
hall_manor	Penshurst Place great hall roof	Penshurst, Kent	purlin at A, smaller profile, across	1 ft 2 1/2 in	ft in	0.368	ft-in	dollman_v2 leaf 56 plate	printed	
hall_manor	Penshurst Place great hall roof	Penshurst, Kent	Section at C.D. profile, across	1 ft 4 in	ft in	0.406	ft-in	dollman_v2 leaf 56 plate	printed	
hall_manor	Penshurst Place great hall	Penshurst, Kent	2-light N and S wall window, overall width at base	5 ft 9 in	ft in	1.753	ft-in	dollman_v2 leaf 60 plate	printed	
hall_manor	Penshurst Place porch	Penshurst, Kent	member on the inner door section (rib or door thickness, not resolved to a single member)	6 3/4 in	in	0.171	in	dollman_v2 leaf 64 plate	printed	
hall_manor	Penshurst Place, window over porch, N front	Penshurst, Kent	overall height of opening	8 ft 8 1/2 in	ft in	2.654	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, window over porch, N front	Penshurst, Kent	height of lights below the tracery	5 ft 3 1/2 in	ft in	1.613	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, window over porch, N front	Penshurst, Kent	splayed opening width on the inside	4 ft 10 in	ft in	1.473	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, window over porch, N front	Penshurst, Kent	opening width in the plane of the window	4 ft 0 in	ft in	1.219	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, window over porch, N front	Penshurst, Kent	each of two light widths	1 ft 6 in	ft in	0.457	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, room over porch	Penshurst, Kent	reveal depth, i.e. wall thickness at this window	2 ft 6 in	ft in	0.762	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, window in room on 1st floor at E end of great hall	Penshurst, Kent	overall height of opening	7 ft 9 in	ft in	2.362	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, window in room on 1st floor at E end of great hall	Penshurst, Kent	height of lights	5 ft 6 in	ft in	1.676	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, window in room on 1st floor at E end of great hall	Penshurst, Kent	splayed opening width on the inside	7 ft 5 3/4 in	ft in	2.280	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, window in room on 1st floor at E end of great hall	Penshurst, Kent	opening width in the plane of the window	5 ft 2 3/4 in	ft in	1.594	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, window in room on 1st floor at E end of great hall	Penshurst, Kent	each of two light widths	2 ft 0 1/2 in	ft in	0.622	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place, room on 1st floor at E end of great hall	Penshurst, Kent	reveal depth, i.e. wall thickness at this window	3 ft 1 in	ft in	0.940	ft-in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place	Penshurst, Kent	mullion width, across	5 7/8 in	in	0.149	in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place	Penshurst, Kent	label mould, across	3 1/2 in	in	0.089	in	dollman_v2 leaf 68 plate	printed	
hall_manor	Penshurst Place great hall gable window	Penshurst, Kent	clear width of one light, between the faces of mullions B and C	2 ft 5 7/8 in	ft in	0.759	ft-in	dollman_v2 leaf 72 plate	printed	
hall_manor	Penshurst Place great hall gable window	Penshurst, Kent	overall width of the window, struck symmetrically about the marked Centre Line	12 ft 3 in	ft in	3.734	ft-in	dollman_v2 leaf 72 plate	printed	
hall_manor	Penshurst Place great hall gable window	Penshurst, Kent	height of the jamb below the head	10 ft 0 in	ft in	3.048	ft-in	dollman_v2 leaf 72 plate	printed	
hall_manor	Penshurst Place chimney stack No.1	Penshurst, Kent	height of capital stage	2 ft 1 in	ft in	0.635	ft-in	dollman_v2 leaf 76 plate	printed	
hall_manor	Penshurst Place chimney stack No.1	Penshurst, Kent	height of octagonal shaft	5 ft 6 in	ft in	1.676	ft-in	dollman_v2 leaf 76 plate	printed	
hall_manor	Penshurst Place chimney stack No.1	Penshurst, Kent	height of base stage	3 ft 5 in	ft in	1.041	ft-in	dollman_v2 leaf 76 plate	printed	
hall_manor	Penshurst Place chimney stack No.2	Penshurst, Kent	height of capital stage	2 ft 0 in	ft in	0.610	ft-in	dollman_v2 leaf 76 plate	printed	
hall_manor	Penshurst Place chimney stack No.2	Penshurst, Kent	height of octagonal shaft	5 ft 6 in	ft in	1.676	ft-in	dollman_v2 leaf 76 plate	printed	
hall_manor	Penshurst Place chimney stack No.2	Penshurst, Kent	height of base stage	3 ft 5 in	ft in	1.041	ft-in	dollman_v2 leaf 76 plate	printed	
hall_manor	Penshurst Place chimney stacks	Penshurst, Kent	octagonal shaft, across the flats	1 ft 11 in	ft in	0.584	ft-in	dollman_v2 leaf 76 plate	printed	
hall_manor	Penshurst Place chimney stacks	Penshurst, Kent	clear gap between paired shafts at base level	4 in	in	0.102	in	dollman_v2 leaf 76 plate	printed	
hall_manor	Penshurst Place chimney stacks	Penshurst, Kent	clear gap between paired shafts at capital level	7 in	in	0.178	in	dollman_v2 leaf 76 plate	printed	
hall_manor	Penshurst Place hall screen	Penshurst, Kent	plinth at C.D., height to floor of the screens passage	1 ft 4 3/8 in	ft in	0.416	ft-in	dollman_v2 leaf 80 plate	printed	
hall_manor	Penshurst Place hall screen	Penshurst, Kent	transom at E.F., across	9 3/4 in	in	0.248	in	dollman_v2 leaf 80 plate	printed	
hall_manor	Penshurst Place oak panels	Penshurst, Kent	linenfold panel, upper left, width by height	9 3/4 in by 1 ft 3 3/8 in	in / ft in	0.102	first measure in prose (in)	dollman_v2 leaf 84 plate	printed	
hall_manor	Penshurst Place oak panels	Penshurst, Kent	linenfold panel, upper right, width by height	9 3/8 in by 1 ft 3 3/8 in	in / ft in	0.203	first measure in prose (in)	dollman_v2 leaf 84 plate	printed	
hall_manor	Penshurst Place oak panels	Penshurst, Kent	linenfold panel, lower left, width by height	8 3/4 in by 1 ft 3 3/4 in	in / ft in	0.102	first measure in prose (in)	dollman_v2 leaf 84 plate	printed	
hall_manor	Penshurst Place oak panels	Penshurst, Kent	linenfold panel, lower centre, width by height	8 3/4 in by 1 ft 4 3/8 in	in / ft in	0.102	first measure in prose (in)	dollman_v2 leaf 84 plate	printed	
hall_manor	Penshurst Place oak panels	Penshurst, Kent	linenfold panel, lower right, width by height	8 3/8 in by 1 ft 4 3/8 in	in / ft in	0.203	first measure in prose (in)	dollman_v2 leaf 84 plate	printed	
hall_manor	Penshurst Place hall table	Penshurst, Kent	length	21 ft 9 in	ft in	6.629	ft-in	dollman_v2 leaf 88 plate	printed	
hall_manor	Penshurst Place hall table	Penshurst, Kent	height to the drawn Floor Line	2 ft 10 3/4 in	ft in	0.883	ft-in	dollman_v2 leaf 88 plate	printed	
hall_manor	Penshurst Place hall table	Penshurst, Kent	width across the end	3 ft 3 in	ft in	0.991	ft-in	dollman_v2 leaf 88 plate	printed	
hall_manor	Penshurst Place hall bench	Penshurst, Kent	length	14 ft 7 in	ft in	4.445	ft-in	dollman_v2 leaf 88 plate	printed	
hall_manor	Penshurst Place hall bench	Penshurst, Kent	seat height	1 ft 11 1/2 in	ft in	0.597	ft-in	dollman_v2 leaf 88 plate	printed	
hall_manor	Penshurst Place hall bench	Penshurst, Kent	top width at the end	10 1/2 in	in	0.267	in	dollman_v2 leaf 88 plate	printed	
hall_manor	Penshurst Place great hall hearth	Penshurst, Kent	octagonal stone hearth, across the flats	7 ft 7 in	ft in	2.311	ft-in	dollman_v2 leaf 88 plate	printed	
hall_manor	Penshurst Place iron fire dog	Penshurst, Kent	overall height of the standard, floor to top of the moulded cap	3 ft 8 1/2 in	ft in	1.130	ft-in	dollman_v2 leaf 88 plate	printed	
hall_manor	Penshurst Place iron fire dog	Penshurst, Kent	horizontal dimension struck at floor level from the foot of the standard (broken line, right terminus not drawn)	3 ft 11 3/4 in	ft in	1.213	ft-in	dollman_v2 leaf 88 plate	printed	
hall_manor	Penshurst Place iron fire dog	Penshurst, Kent	horizontal dimension struck at the level of the top of the standard (broken line, right terminus not drawn)	5 ft 2 in	ft in	1.575	ft-in	dollman_v2 leaf 88 plate	printed	
hall_manor	Penshurst Place iron fire dog	Penshurst, Kent	width of the baluster foot at the base	1 ft 3 in	ft in	0.381	ft-in	dollman_v2 leaf 88 plate	printed	
hall_manor	Browne's Hospital / The Bede House	Stamford, Lincolnshire	audit room	36 ft by 21 ft	ft	10.973	first measure in prose (ft)	dollman_v2 leaf 29 text	text	
hall_manor	Browne's Hospital / The Bede House	Stamford, Lincolnshire	upper (audit room) storey height, elevation band between string course and parapet	12 ft 10 3/4 in	ft in	3.931	ft-in	dollman_v2 leaf 34 plate	printed	
hall_manor	Browne's Hospital / The Bede House	Stamford, Lincolnshire	lower (dormitory) storey height, in the longitudinal section	10 ft 6 in	ft in	3.200	ft-in	dollman_v2 leaf 34 plate	printed	
hall_manor	Browne's Hospital / The Bede House	Stamford, Lincolnshire	unassigned figure on the elevation/section (terminations not resolved)	38 ft 9 in	ft in	11.811	ft-in	dollman_v2 leaf 34 plate	printed	
