source_manifest	canonical_element	building	element_as_written	value	unit	value_m	source	evidence	quote
building_dimensions_v1.tsv	internal_length	Penshurst Place great hall	internal length	64	ft	19.507	dollman_v2 leaf 46 text	text	
building_dimensions_v1.tsv	internal_width	Penshurst Place great hall	internal width	38 ft 9 in	ft in	11.811	dollman_v2 leaf 46 text	text	
building_dimensions_v1.tsv	internal_height	Penshurst Place great hall	floor to ridge of roof	48	ft	14.630	dollman_v2 leaf 46 text	text	
building_dimensions_v1.tsv	internal_length	Penshurst Place great hall	internal length, inner face of service-range wall to inner face of far end wall, including the screens passage	64 ft 0 in	ft in	19.507	dollman_v2 leaf 52 plate	printed	
building_dimensions_v1.tsv	internal_width	Penshurst Place great hall	internal width on the plan, at the dais line	38 ft 8 in	ft in	11.786	dollman_v2 leaf 52 plate	printed	
building_dimensions_v1.tsv	internal_width	Penshurst Place great hall	internal width on the transverse section	38 ft 9 in	ft in	11.811	dollman_v2 leaf 56 plate	printed	
building_dimensions_v1.tsv	gable_rise	Penshurst Place great hall	ridge down to top of figure-corbel capital, i.e. springing of the arched principal / wall-plate level	32 ft 0 in	ft in	9.754	dollman_v2 leaf 56 plate	printed	
building_dimensions_v1.tsv	member_section	Penshurst Place great hall roof	purlin at A, larger profile, across	1 ft 7 in	ft in	0.483	dollman_v2 leaf 56 plate	printed	
building_dimensions_v1.tsv	depth	Penshurst Place great hall roof	purlin at A, larger profile, deep	1 ft 8 1/2 in	ft in	0.521	dollman_v2 leaf 56 plate	printed	
building_dimensions_v1.tsv	depth	Penshurst Place great hall roof	purlin at A, smaller profile, deep	1 ft 2 in	ft in	0.356	dollman_v2 leaf 56 plate	printed	
building_dimensions_v1.tsv	member_section	Penshurst Place great hall roof	purlin at A, smaller profile, across	1 ft 2 1/2 in	ft in	0.368	dollman_v2 leaf 56 plate	printed	
building_dimensions_v1.tsv	member_section	Penshurst Place great hall roof	Section at C.D. profile, across	1 ft 4 in	ft in	0.406	dollman_v2 leaf 56 plate	printed	
building_dimensions_v1.tsv	opening_width	Penshurst Place great hall	2-light N and S wall window, overall width at base	5 ft 9 in	ft in	1.753	dollman_v2 leaf 60 plate	printed	
building_dimensions_v1.tsv	thickness	Penshurst Place porch	member on the inner door section (rib or door thickness, not resolved to a single member)	6 3/4 in	in	0.171	dollman_v2 leaf 64 plate	printed	
building_dimensions_v1.tsv	opening_height	Penshurst Place, window over porch, N front	overall height of opening	8 ft 8 1/2 in	ft in	2.654	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place, window over porch, N front	height of lights below the tracery	5 ft 3 1/2 in	ft in	1.613	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	internal_width	Penshurst Place, window over porch, N front	splayed opening width on the inside	4 ft 10 in	ft in	1.473	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	opening_width	Penshurst Place, window over porch, N front	opening width in the plane of the window	4 ft 0 in	ft in	1.219	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	opening_width	Penshurst Place, window over porch, N front	each of two light widths	1 ft 6 in	ft in	0.457	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	wall_thickness	Penshurst Place, room over porch	reveal depth, i.e. wall thickness at this window	2 ft 6 in	ft in	0.762	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	opening_height	Penshurst Place, window in room on 1st floor at E end of great hall	overall height of opening	7 ft 9 in	ft in	2.362	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place, window in room on 1st floor at E end of great hall	height of lights	5 ft 6 in	ft in	1.676	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	internal_width	Penshurst Place, window in room on 1st floor at E end of great hall	splayed opening width on the inside	7 ft 5 3/4 in	ft in	2.280	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	opening_width	Penshurst Place, window in room on 1st floor at E end of great hall	opening width in the plane of the window	5 ft 2 3/4 in	ft in	1.594	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	opening_width	Penshurst Place, window in room on 1st floor at E end of great hall	each of two light widths	2 ft 0 1/2 in	ft in	0.622	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	wall_thickness	Penshurst Place, room on 1st floor at E end of great hall	reveal depth, i.e. wall thickness at this window	3 ft 1 in	ft in	0.940	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	width	Penshurst Place	mullion width, across	5 7/8 in	in	0.149	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	member_section	Penshurst Place	label mould, across	3 1/2 in	in	0.089	dollman_v2 leaf 68 plate	printed	
building_dimensions_v1.tsv	opening_width	Penshurst Place great hall gable window	clear width of one light, between the faces of mullions B and C	2 ft 5 7/8 in	ft in	0.759	dollman_v2 leaf 72 plate	printed	
building_dimensions_v1.tsv	opening_width	Penshurst Place great hall gable window	overall width of the window, struck symmetrically about the marked Centre Line	12 ft 3 in	ft in	3.734	dollman_v2 leaf 72 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place great hall gable window	height of the jamb below the head	10 ft 0 in	ft in	3.048	dollman_v2 leaf 72 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place chimney stack No.1	height of capital stage	2 ft 1 in	ft in	0.635	dollman_v2 leaf 76 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place chimney stack No.1	height of octagonal shaft	5 ft 6 in	ft in	1.676	dollman_v2 leaf 76 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place chimney stack No.1	height of base stage	3 ft 5 in	ft in	1.041	dollman_v2 leaf 76 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place chimney stack No.2	height of capital stage	2 ft 0 in	ft in	0.610	dollman_v2 leaf 76 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place chimney stack No.2	height of octagonal shaft	5 ft 6 in	ft in	1.676	dollman_v2 leaf 76 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place chimney stack No.2	height of base stage	3 ft 5 in	ft in	1.041	dollman_v2 leaf 76 plate	printed	
building_dimensions_v1.tsv	member_section	Penshurst Place chimney stacks	octagonal shaft, across the flats	1 ft 11 in	ft in	0.584	dollman_v2 leaf 76 plate	printed	
building_dimensions_v1.tsv	gap	Penshurst Place chimney stacks	clear gap between paired shafts at base level	4 in	in	0.102	dollman_v2 leaf 76 plate	printed	
building_dimensions_v1.tsv	gap	Penshurst Place chimney stacks	clear gap between paired shafts at capital level	7 in	in	0.178	dollman_v2 leaf 76 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place hall screen	plinth at C.D., height to floor of the screens passage	1 ft 4 3/8 in	ft in	0.416	dollman_v2 leaf 80 plate	printed	
building_dimensions_v1.tsv	member_section	Penshurst Place hall screen	transom at E.F., across	9 3/4 in	in	0.248	dollman_v2 leaf 80 plate	printed	
building_dimensions_v1.tsv	width	Penshurst Place oak panels	linenfold panel, upper left, width by height	9 3/4 in by 1 ft 3 3/8 in	in / ft in	0.102	dollman_v2 leaf 84 plate	printed	
building_dimensions_v1.tsv	width	Penshurst Place oak panels	linenfold panel, upper right, width by height	9 3/8 in by 1 ft 3 3/8 in	in / ft in	0.203	dollman_v2 leaf 84 plate	printed	
building_dimensions_v1.tsv	width	Penshurst Place oak panels	linenfold panel, lower left, width by height	8 3/4 in by 1 ft 3 3/4 in	in / ft in	0.102	dollman_v2 leaf 84 plate	printed	
building_dimensions_v1.tsv	width	Penshurst Place oak panels	linenfold panel, lower centre, width by height	8 3/4 in by 1 ft 4 3/8 in	in / ft in	0.102	dollman_v2 leaf 84 plate	printed	
building_dimensions_v1.tsv	width	Penshurst Place oak panels	linenfold panel, lower right, width by height	8 3/8 in by 1 ft 4 3/8 in	in / ft in	0.203	dollman_v2 leaf 84 plate	printed	
building_dimensions_v1.tsv	internal_length	Penshurst Place hall table	length	21 ft 9 in	ft in	6.629	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place hall table	height to the drawn Floor Line	2 ft 10 3/4 in	ft in	0.883	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	width	Penshurst Place hall table	width across the end	3 ft 3 in	ft in	0.991	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	internal_length	Penshurst Place hall bench	length	14 ft 7 in	ft in	4.445	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	height	Penshurst Place hall bench	seat height	1 ft 11 1/2 in	ft in	0.597	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	width	Penshurst Place hall bench	top width at the end	10 1/2 in	in	0.267	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	member_section	Penshurst Place great hall hearth	octagonal stone hearth, across the flats	7 ft 7 in	ft in	2.311	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	external_height	Penshurst Place iron fire dog	overall height of the standard, floor to top of the moulded cap	3 ft 8 1/2 in	ft in	1.130	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	unresolved_in_source	Penshurst Place iron fire dog	horizontal dimension struck at floor level from the foot of the standard (broken line, right terminus not drawn)	3 ft 11 3/4 in	ft in	1.213	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	unresolved_in_source	Penshurst Place iron fire dog	horizontal dimension struck at the level of the top of the standard (broken line, right terminus not drawn)	5 ft 2 in	ft in	1.575	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	width	Penshurst Place iron fire dog	width of the baluster foot at the base	1 ft 3 in	ft in	0.381	dollman_v2 leaf 88 plate	printed	
building_dimensions_v1.tsv	room_footprint	Browne's Hospital / The Bede House	audit room	36 ft by 21 ft	ft	10.973	dollman_v2 leaf 29 text	text	
building_dimensions_v1.tsv	storey_height	Browne's Hospital / The Bede House	upper (audit room) storey height, elevation band between string course and parapet	12 ft 10 3/4 in	ft in	3.931	dollman_v2 leaf 34 plate	printed	
building_dimensions_v1.tsv	storey_height	Browne's Hospital / The Bede House	lower (dormitory) storey height, in the longitudinal section	10 ft 6 in	ft in	3.200	dollman_v2 leaf 34 plate	printed	
building_dimensions_v1.tsv	unresolved_in_source	Browne's Hospital / The Bede House	unassigned figure on the elevation/section (terminations not resolved)	38 ft 9 in	ft in	11.811	dollman_v2 leaf 34 plate	printed	
building_dimensions_v1.tsv	unresolved_in_source	Browne's Hospital / The Bede House	unassigned figure on the elevation/section (terminations not resolved)	15 ft 8 3/4 in	ft in	4.794	dollman_v2 leaf 34 plate	printed	
building_dimensions_v1.tsv	internal_length	Bede House audit room table	length	15 ft 8 in	ft in	4.775	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	internal_height	Bede House audit room table	height	2 ft 7 3/4 in	ft in	0.806	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	internal_length	Bede House audit room bench	length	14 ft 2 in	ft in	4.318	dollman_v2 leaf 374 plate	printed	
