# key|task|given TeX|setup|wrong setup|result|wrong result|wrong result|explanation|independent check
algebra|Solve for x.|2x+3=11|2x=11-3|2x=11+3|x=4|x=7|x=8|Subtract 3 from both sides, then divide by 2.|2*4+3==11
topic_0001|Find the additive inverse of 3 in the integers modulo 5.|3+a\equiv0\pmod5|a\equiv-3\pmod5|a\equiv3\pmod5|a=2|a=3|a=0|The inverse adds to zero: 3+2 is divisible by 5.|(3+2)%5==0
topic_0002|Find the greatest common divisor.|\gcd(18,12)|18=1\cdot12+6|18=2\cdot12+6|6|3|12|The Euclidean algorithm gives remainders 6 and then 0.|gcd(18,12)==6
topic_0003|Find the input that maps to 9.|f(x)=2x+1,\quad f(x)=9|2x=8|2x=10|x=4|x=5|x=8|Undo addition before dividing by the coefficient.|2*4+1==9
topic_0004|Factor the polynomial over the integers.|x^2-9|x^2-3^2|x^2+3^2|(x-3)(x+3)|(x-3)^2|(x+3)^2|Use the difference of two squares; the middle terms cancel.|poly('x**2-9','(x-3)*(x+3)')
topic_0005|Evaluate the absolute value expression.|\lvert-5\rvert+\lvert2\rvert|5+2|-5+2|7|-3|3|Absolute value is distance from zero and is nonnegative.|abs(-5)+abs(2)==7
topic_0006|Find the orbit of 1 under this permutation.|\sigma=(1\ 2\ 3)|1\to2\to3\to1|1\to2\to1|\{1,2,3\}|\{1\}|\{1,2\}|Repeated application visits every member of the cycle.|orbit([2,3,1],1)==[1,2,3]
topic_0007|Evaluate the composition in the stated order.|f(x)=x+1,\quad g(x)=2x,\quad(f\circ g)(3)|f(6)|g(4)|7|8|6|Apply g first, then f: 3 goes to 6 and then 7.|2*3+1==7
topic_0008|Find the remainder when p is divided by x-2.|p(x)=x^2+3x+1|p(2)=4+6+1|p(-2)=4-6+1|11|-1|7|The remainder theorem evaluates the polynomial at the divisor's root.|2**2+3*2+1==11
topic_0009|Use a root to factor the quadratic.|p(x)=x^2-5x+6,\quad p(2)=0|p(x)=(x-2)(x-a)|p(x)=(x+2)(x-a)|a=3|a=-3|a=2|The constant term requires 2a=6; the middle term then equals -5x.|poly('x**2-5*x+6','(x-2)*(x-3)')
topic_0010|Complete the proof that the sum of two even integers is even.|a=2m,\quad b=2n,\quad m,n\in\mathbb Z|a+b=2(m+n)|a+b=2mn|m+n\in\mathbb Z|m+n=1|m+n\notin\mathbb Z|Integers are closed under addition, so the sum has the form twice an integer.|poly('2*m+2*n','2*(m+n)')
topic_0011|Compute the product in the quotient ring.|\mathbb Z/6\mathbb Z,\quad[4][5]|[20]|[9]|[2]|[3]|[0]|Multiply integer representatives and reduce the result modulo 6.|(4*5)%6==2
topic_0012|Apply the given maximal-ideal criterion to the integers.|\mathbb Z/(p)\text{ is a field for prime }p;\quad p=5|\mathbb Z/(5)\text{ is a field}|\mathbb Z/(5)\text{ has a zero divisor}|(5)\text{ is maximal}|(5)=(0)|(5)=\mathbb Z|An ideal is maximal exactly when its quotient ring is a field.|prime(5)
topic_0013|Find the radical ideal in the integers: its elements have a power in (9).|\sqrt{(9)}=\{a\in\mathbb Z:a^n\in(9)\text{ for some }n\ge1\}|3^2\in(9)|2^2\in(9)|(3)|(9)|(1)|A power is divisible by 9 exactly when the integer is divisible by 3.|radical_integer(9)==3
topic_0014|Find the dimension of a tensor product over the real numbers.|U=\mathbb R^2,\quad V=\mathbb R^3|\dim(U\otimes V)=2\cdot3|\dim(U\otimes V)=2+3|6|5|9|Pairs of basis vectors give a basis of the tensor product.|2*3==6
topic_0015|Find the torsion submodule of this module over the integers.|M=\mathbb Z\oplus\mathbb Z/2\mathbb Z|2(0,[1])=(0,[0])|2(1,[0])=(0,[0])|\{0\}\oplus\mathbb Z/2\mathbb Z|\mathbb Z\oplus\{0\}|M|Only elements with zero integer coordinate can be killed by a nonzero integer.|2*0==0 and (2*1)%2==0
