french	english	category	definition	source_article
charpente	carpentry / timber frame	carpentry-member	[Charpente] Any combination and assembly of large-section timber for building. NOTE: Viollet's opening definition: 'toute combinaison et assemblage de bois de gros echantillon'.	Charpente
ferme	truss / roof truss	carpentry-member	[Charpente] The triangulated transverse frame of a roof. Viollet says the Greeks already knew it. NOTE: ferme-maîtresse = principal truss; ferme de croupe = hip truss.	Charpente; Maison
ferme-maîtresse	principal / main truss	carpentry-member	[Charpente] A fully armed truss with tie and king-post, as opposed to the chevrons between. NOTE: At Notre-Dame the hip fermes-maîtresses are 'accouplees' (doubled/paired).	Charpente
chevron	common rafter	carpentry-member	[Charpente] The repeated rafter between trusses. NOTE: French Gothic chevrons are individually framed - see chevron portant ferme. || [Maison] In the Vosges the middle pan de bois supports the upper ends of the rafters; in the Nivernais the projecting joists frame into the rafters.	Charpente; Maison
chevron portant ferme	rafter-couple framed as its own truss ('rafter carrying truss')	carpentry-member	[Charpente] A rafter pair armed almost like a ferme - collar, jambettes, contre-fiches - but with NO tie at its base and usually no king-post; it stands on patins/blochets assembled in the double wall-plates. NOTE: Names the whole 13th-c French system: 'charpentes à chevrons portant fermes'. This is the key French/English divergence.	Charpente
arbalétrier	principal rafter	carpentry-member	[Charpente] The main inclined member of a ferme. NOTE: In the French Gothic system its OUTER face lies in the same plane as the chevrons.	Charpente
sous-arbalétrier	under-principal	carpentry-member	[Charpente] A second inclined member set below and parallel to the arbalétrier, keeping the king-post in plane and stiffening the truss. NOTE: At Reims the sous-arbalétriers are moises (paired), one piece each, 14.50 m long, and are 'toute sa force'.	Charpente
entrait	tie-beam	carpentry-member	[Charpente] The bottom chord. Viollet's doctrine: its ONLY function is to stop the rafters spreading; it must carry NOTHING and must itself be suspended from the king-post at mid-span. NOTE: The whole polemic against English practice hangs on this. || [Maison] Received by the main beam where it passes through the Chateaudun front wall.	Charpente; Maison
entrait retrousse	raised tie / collar	carpentry-member	VERIFICATION CORRECTED. A tie set higher up the truss to stop the rafters bending. The reader's note 'Viollet places them at EQUAL intervals up the rafter - a buckling-length rule' is NOT a rule: 'a intervalles egaux' occurs once in the whole article and is scoped to one truss - 'La flexion des arbaletriers DE CETTE FERME est donc arretee a intervalles egaux par les trois entraits retrousses' (the Notre-Dame hip truss, fig. 9). At Reims the ferme's two collars sit 3.39 m and 6.09 m from the head of a 17.08 m rafter, leaving the lower 10.99 m with none: intervals 3.39 / 2.70 / 10.99 m. || SOURCE ENTRIES: [Charpente] A tie set higher up the truss, stopping the rafters bending. NOTE: Viollet places them at EQUAL intervals up the rafter - a buckling-length rule.	Charpente
faux entrait	false tie	carpentry-member	[Charpente] Two pieces crossed as a St-Andrew cross, halved together, used instead of a tie when a barrel vault crown blocks the tie line. NOTE: Viollet records these as a failure: the tenons tear out.	Charpente
