ia_id	source	building	place	element	value	unit	value_m	leaf	printed_page	confidence	quote
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	The Prior's House, Much Wenlock — first-floor hall	Much Wenlock, Shropshire	internal length	28 ft 6 in	ft in	8.687	37		author-estimate	This hall measures about 28 feet 6 inches long and 19 feet wide, and is covered with a very good open timber roof, 13 feet 6 inches from the floor to the springing of the arched braces
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	The Prior's House, Much Wenlock — first-floor hall	Much Wenlock, Shropshire	internal width	19 ft	ft	5.791	37		author-estimate	This hall measures about 28 feet 6 inches long and 19 feet wide, and is covered with a very good open timber roof, 13 feet 6 inches from the floor to the springing of the arched braces
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	The Prior's House, Much Wenlock — first-floor hall	Much Wenlock, Shropshire	height from floor to springing of arched braces	13 ft 6 in	ft in	4.115	37		measured	This hall measures about 28 feet 6 inches long and 19 feet wide, and is covered with a very good open timber roof, 13 feet 6 inches from the floor to the springing of the arched braces
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	The Prior's House, Much Wenlock — two-storey gallery	Much Wenlock, Shropshire	gallery internal length	nearly 100 ft	ft	30.480	37		author-estimate	a two-storey gallery nearly 100 feet long and 6 feet wide along the whole length
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	The Prior's House, Much Wenlock — two-storey gallery	Much Wenlock, Shropshire	gallery internal width	6 ft	ft	1.829	37		author-estimate	a two-storey gallery nearly 100 feet long and 6 feet wide along the whole length
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Great Chalfield Manor House great hall	Great Chalfield, Wiltshire	internal length	about 40 ft	ft	12.192	39		author-estimate	The hall itself, which measures about 40 feet by 20 feet and 20 feet in height
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Great Chalfield Manor House great hall	Great Chalfield, Wiltshire	internal width	20 ft	ft	6.096	39		author-estimate	The hall itself, which measures about 40 feet by 20 feet and 20 feet in height
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Great Chalfield Manor House great hall	Great Chalfield, Wiltshire	height (internal, to roof)	20 ft	ft	6.096	39		author-estimate	The hall itself, which measures about 40 feet by 20 feet and 20 feet in height
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	The Abbot's House, Muchelney — 'Cheese room'	Muchelney, Somerset	internal length	about 25 ft	ft	7.620	46	29	author-estimate	apartment, measuring about 25 feet long by 12 feet wide, known as the ‘Cheese room.’
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	The Abbot's House, Muchelney — 'Cheese room'	Muchelney, Somerset	internal width	12 ft	ft	3.658	46	29	author-estimate	apartment, measuring about 25 feet long by 12 feet wide, known as the ‘Cheese room.’
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Forde Abbey — entrance tower oriel	Thorncombe, Dorset	oriel sill height above external ground level	about 12 ft	ft	3.658	51		author-estimate	an exceptionally fine two-storey oriel, starting about 12 feet from the ground level
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Forde Abbey great hall (Abbot Chard's hall or refectory)	Thorncombe, Dorset	internal length (truncated by later work)	55 ft	ft	16.764	52		measured	The hall, even now 55 feet long by 27 feet 9 inches wide
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Forde Abbey great hall (Abbot Chard's hall or refectory)	Thorncombe, Dorset	internal width	27 ft 9 in	ft in	8.458	52		measured	The hall, even now 55 feet long by 27 feet 9 inches wide
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	South Wraxall Manor House great hall	South Wraxall, Wiltshire	internal length (including the screens)	about 32 ft	ft	9.754	59		author-estimate	The hall remains nearly intact: it measures about 32 feet in length, including the “screens , 20 feet in width, and 20 feet high to the springing of the open timber roof
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	South Wraxall Manor House great hall	South Wraxall, Wiltshire	internal width	20 ft	ft	6.096	59		author-estimate	The hall remains nearly intact: it measures about 32 feet in length, including the “screens , 20 feet in width, and 20 feet high to the springing of the open timber roof
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	South Wraxall Manor House great hall	South Wraxall, Wiltshire	height to springing of open timber roof	20 ft	ft	6.096	59		author-estimate	The hall remains nearly intact: it measures about 32 feet in length, including the “screens , 20 feet in width, and 20 feet high to the springing of the open timber roof
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Manor House (Bede House), Lyddington — hall	Lyddington, Rutland	internal length	about 47 ft	ft	14.326	62	45	author-estimate	The hall, which measures about 47 feet long, 20 feet wide and 14 feet high, occupies the greater part of the single storey building
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Manor House (Bede House), Lyddington — hall	Lyddington, Rutland	internal width	20 ft	ft	6.096	62	45	author-estimate	The hall, which measures about 47 feet long, 20 feet wide and 14 feet high, occupies the greater part of the single storey building
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Manor House (Bede House), Lyddington — hall	Lyddington, Rutland	height to flat ribbed ceiling	14 ft	ft	4.267	62	45	author-estimate	The hall, which measures about 47 feet long, 20 feet wide and 14 feet high, occupies the greater part of the single storey building
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Horham Hall great hall	Thaxted, Essex	internal length	about 46 ft	ft	14.021	77		author-estimate	it measures about 46 feet long by 24 feet wide, and is ceiled at a height of about 25 feet with a flat curved ceiling divided into panels by moulded ribs
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Horham Hall great hall	Thaxted, Essex	internal width	24 ft	ft	7.315	77		author-estimate	it measures about 46 feet long by 24 feet wide, and is ceiled at a height of about 25 feet with a flat curved ceiling divided into panels by moulded ribs
