source_id,ia_id,title,leaves,status,offset_rule,fraction_trap,other_traps,verified_leaves,rights,rights_class,role
mitchell1898,buildingconstruc00mitc,"Mitchell, Building Construction and Drawing: First Stage (1898)",336,loaded,"printed = leaf - 13; CONFIRMED 2 points (n206=193, n300=287); len(pageindex)==imagecount==336, trusted branch",YES - zero fraction glyphs in OCR; figures carry them,running heads absent from OCR layer - page confirmation needs the image,"n206 (printed 193: ledged and braced doors, dimensioned elevations + sill sections; the ledged-and-braced type is the construction of the Sinc door fixture)","pre-1931 scan, University of Toronto contribution; public domain",unrestricted,"joinery/section atlas - windows (sash leaves n192-n323 cluster), doors, roofs"
mitchell1894,buildingconstru01mitcgoog,"Mitchell, Building Construction and Drawing (1894)",293,loaded,"printed = leaf - 14; CONFIRMED 2 points from OCR heads (n60=46, n250=236); len(pageindex)==imagecount==293, trusted branch",YES,Google scan; OCR quality visibly worse than the 1898 Toronto scan ('EJCAldlKAlriOK' class garbage) - prefer mitchell1898 where both cover a topic,,Google scan marked NOT_IN_COPYRIGHT,unrestricted,"joinery/section atlas, earlier edition; sash cluster n179-n284"
ellis1902,india.history.resource.100246,"Ellis, Modern Practical Joinery (1902)",421,loaded,DRIFTS: printed = leaf - 17 at n141 but leaf - 32 at n300 (uncounted plate leaves); imagecount ABSENT from metadata so the trusted-branch test cannot be evaluated. READ THE PRINTED NUMBER PER CITATION.,"YES - and Ellis prose is dense with fractional rules (throat >= 1/4 in, water bar 1 x 3/16 in) so prose numbers need page-image confirmation too","DERIVATIVE PREFIX trap: hOCR files are 100246_hocr_*, not <identifier>_hocr_* - fetch via the files list, or pre-place in cache","n141 (printed 124: sash-frame construction - pulley stile fixing, pocket cutting, head joint, oak sill sinkings; dimensioned isometrics AND quantified prose rules on one page)",1902; public domain,unrestricted,"THE joinery treatise: 102 sash leaves, 21-22 casement/mullion leaves, 12 meeting-rail leaves, stairs, doors, skylights"
addy1898,evolutionenglis00addygoog,"Addy, The Evolution of the English House (1898)",263,mined,printed = leaf - 34; CONFIRMED 5 points + Padley plan; trusted branch,YES (the book that discovered the trap),,n109 Bolsterstone barn section; n164 Kensworth plan; n164/n166 dimension passages,pre-1931 scan; public domain,unrestricted,"already mined: english_vernacular_dimensions_v1.tsv, 149 rows / 37 buildings"
turnerparker,someaccountofdom00turn; someaccountofdom00park_0; someaccountofdom02park,"Turner/Parker, Some Account of Domestic Architecture in England (3 vols cached)",438,loaded,"someaccountofdom02park (Richard II to Henry VIII, the XVc volume): 438 leaves, len(pageindex)==imagecount, trusted branch; pagination CONTINUES from the earlier part (leaf 228 = printed ~326 per OCR running head '32G EXISTING REMAINS' - printed number not yet confirmed on the image). Other two volumes unestablished.",unchecked,"THE WRONG-BERWICK TRAP (census cycle 2): searching the two obvious volumes for 'Berwick' finds Berwick-upon-Tweed in a castle list. The Berwick St Leonard barn lives in someaccountofdom02park n228, exactly where the cycle-48 citation said - the citation was right, the volume identity was the missing fact.",,pre-1931; public domain,unrestricted,"XVc vernacular: Berwick St Leonard barn (n228), Beetham Hall hall-as-barn (n40-41), Great Chalfield front (n228)"
garner,gri_33125010766489,"Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1",364,mined,"leaf N is image N (364==364, confirmed cycle 39)",unchecked,,,pre-1931; public domain,unrestricted,Tudor halls (351-row english_hall_dimensions corpus); the n125 cellar
viollet,fr.wikisource (Dictionnaire raisonne),"Viollet-le-Duc, Dictionnaire raisonne de l'architecture",0,mined,"n/a (wikisource, action=parse required for ProofreadPage transclusion)",n/a,restoration provenance: Carcassonne/Pierrefonds rows are Viollet's own work; datum conflicts (Coucy 64 vs 65 m),,public domain,unrestricted,castle/tower/window/interior manifests; crenel formula; window rule
gwilt,encyclopaediaofa00gwil,"Gwilt, Encyclopaedia of Architecture",1474,mined,DRIFTS (1478 pageindex vs 1474 images; offsets 3 AND 4 measured in one book) - the item that produced the drift rule in cycle 39,YES (Newland's table OCRs as '9 8^ 8 H 7 6 H 5' - read off the image),,"n689 (printed 668: Newland pairing table, verified on the page image in cycle 38)",pre-1931; public domain,unrestricted,"stair rules (27 rows in stair_rules_v1.tsv), incl. the same-page contradiction"
roubo,bub_gb_UFuVi47ZglYC (+2 sibling vols),"Roubo, L'Art du Menuisier (1828 ed.)",0,located,unestablished,unchecked,pied/pouce units - conversion machinery exists (vldsource/vldnum),,public domain,unrestricted,French joinery sections at treatise depth
habs,loc.gov HABS/HAER collection,Historic American Buildings Survey (Library of Congress),0,located,n/a (per-sheet measured drawings),n/a,,,US government; public domain,unrestricted,"45,882 surveyed structures (API-verified count 2026-07-31); measured-fabric window/door/moulding sheet details"
millwork,Radfordsashdoorsblindsmouldings0001; officialcatalogu00fost; catalogueoffarle00farl,"Millwork trade catalogues 1880-1930 (Radford 1904, Foster-Munger 1895, Farley & Loetscher 1898)",0,located,unestablished,unchecked,,,pre-1931; public domain,unrestricted,standard sizes at industrial scale - the statistical backbone
