kind	id	subject	source_title	primary_route	readiness	source_checklist
chapter	topic_0001	ALGEBRA	Algebraic Structures	R00	existing_first_example	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0002	ALGEBRA	Number Systems and Divisibility	F03	foundation_extension_needed	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0003	ALGEBRA	Equations and Relations	R00	existing_first_example	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0004	ALGEBRA	Polynomials and Rational Expressions	F01	foundation_extension_needed	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0005	ALGEBRA	Inequalities and Expressions	F10	foundation_extension_needed	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0006	ALGEBRA	Symmetry and Group Actions	R00	existing_first_example	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0007	ALGEBRA	Algebraic Methodology	F03	foundation_extension_needed	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0008	ALGEBRA	Theorems	R00	existing_first_example	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0009	ALGEBRA	Worked examples	R00	existing_first_example	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0010	ALGEBRA	Proof sketches	F03	foundation_extension_needed	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0011	ALGEBRA	Algebraic Structures and Quotients	F07	foundation_extension_needed	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0012	ALGEBRA	Advanced Ring-Theoretic Terms	F07	foundation_extension_needed	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0013	ALGEBRA	Algebraic and Module Extensions	F15	design_review_required	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0014	ALGEBRA	Advanced Module Theory	F15	design_review_required	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0015	ALGEBRA	Homological and Categorical Additions	F15	design_review_required	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0016	ALGEBRA	Homological Constructions	F15	design_review_required	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0017	ALGEBRA	Galois and Homological Structures	F15	design_review_required	docs/MATH_ASSET_TODO_ALGEBRA.md
chapter	topic_0018	ALGEBRA	Category-Theoretic Extensions	F15	design_review_required	docs/MATH_ASSET_TODO_ALGEBRA.md
