donor,kind,located_at,headline_status,per_family_relations,axes_compared,finding
iggy3d rough_hewn_timber_beam_v1,geometry,assets/creative/architecture/structural/rough_hewn_timber_beam_v1,RECIPE_PRECEDENT_ONLY,stile.continuous_leg_and_stile=RECIPE_PRECEDENT_ONLY; stile.case_corner_board=RECIPE_PRECEDENT_ONLY,silhouette NO / section NO / topology NO / construction PARTIAL / joints NO / interfaces NO / editability NO,"Continuous-square-stock logic is a legitimate precedent for single-stick members with no joint along the run. Adze-hewn surface, architectural scale, no furniture joint schedule. Not a donor for any family."
iggy3d structural_oak_joinery_v1 - geometry,geometry,assets/creative/materials/structural_oak_joinery_v1/output/structural_oak_joinery_v1.blend,RECIPE_PRECEDENT_ONLY,frame.stile_rail_muntin_grid=RECIPE_PRECEDENT_ONLY; rail.seat_tenoned=RECIPE_PRECEDENT_ONLY,construction PARTIAL - joinery approach only; silhouette/section/topology/joints/interfaces/editability NOT compared against corpus members,"Resolved from AUDIT_REQUIRED. Its mortise-and-tenon approach is a genuine precedent for joined frames and tenoned rails. It is NOT an exact donor: structural oak joinery is sized for building frames, not furniture."
iggy3d structural_oak_joinery_v1 - materials,material,"assets/creative/materials/structural_oak_joinery_v1/{patterns,profiles,output}",MATERIAL_ONLY,all wooden families=MATERIAL_ONLY,n/a - material assets are not construction donors,Donates oak surface. Recorded separately from the geometry above so the package can never be cited as a geometry donor by association.
iggy3d structural_oak_door_v1 - materials,material,"assets/creative/materials/structural_oak_door_v1/{patterns,output}",MATERIAL_ONLY,all wooden families=MATERIAL_ONLY,n/a,Surface only.
iggy3d structural_oak_door_v1 - door fixture,geometry,assets/creative/materials/structural_oak_door_v1/output/structural_oak_door_v1.blend (externally imported Sinc asset),INCOMPATIBLE,frame.stile_rail_muntin_grid=INCOMPATIBLE; panel.floating_wood_in_groove=INCOMPATIBLE; frame.applied_moulded_surround=INCOMPATIBLE,construction YES - and it fails there,"RESOLVED AND REJECTED. v3 flagged this as the most plausible frame-and-panel precedent AND the most dangerous name-resemblance trap. The trap was real: it is an externally imported Sinc LEDGED-AND-BRACED PLANK DOOR - vertical planks on ledges with a diagonal brace. That is the opposite construction to frame-and-panel: no stiles, no rails, no muntins, no grooves, no floating panel. INCOMPATIBLE with every frame and panel family."
iggy3d forged_iron_v1 - material,material,"assets/creative/materials/forged_iron_v1/{patterns,output}",MATERIAL_ONLY,stay.metal_quadrant_visible=MATERIAL_ONLY; relief.beaded_teardrop_lappet=MATERIAL_ONLY,n/a,Donates iron surface only.
iggy3d openwork_strap_hinge_geometry_v1,geometry,assets/creative/materials/forged_iron_v1/build_openwork_strap_hinge_geometry_v1.py + output manifest + clay proof,INCOMPATIBLE,stay.metal_quadrant_visible=INCOMPATIBLE; flyrail.moving_assembly=RECIPE_PRECEDENT_ONLY (generic pivot only),construction YES / topology YES - both fail against the quadrant stay,"RESOLVED. A strap hinge leaf is a flat pierced plate rotating about a fixed pintle. A quadrant stay is an ARC that SLIDES IN A SLOT while its other end is fixed - a different mechanism, a different section and a different motion. INCOMPATIBLE with the quadrant stay. Retains value as a generic pivot precedent for the fly-rail assembly and nothing more."
iggy3d forged_fasteners_v1,geometry,assets/creative/materials/forged_iron_v1/output/forged_fasteners_v1.blend,RECIPE_PRECEDENT_ONLY,plate.pegged_repair=RECIPE_PRECEDENT_ONLY; cleat.lid_batten=RECIPE_PRECEDENT_ONLY; rail.seat_pinned=RECIPE_PRECEDENT_ONLY,construction PARTIAL - generation and placement approach only,"RESOLVED. Precedent for fastener GENERATION AND PLACEMENT - arrays, spacing, seating into a host. NOT an exact donor for wooden pegs or round furniture pins: forged iron fasteners and turned wooden pegs differ in material, silhouette and how they seat."
Sinc GH-001 hand-hewn structural beam system,geometry,/Users/kogaryu/Documents/Codex/2026-07-25/sinc/docs/asset-library/MASTER_ASSET_REGISTRY.md (GH-001 row); /Users/kogaryu/Documents/Codex/2026-07-25/sinc/work/giant_house_hand_hewn_timber_beam_system_v1_SELECTION.md; /Users/kogaryu/Documents/Codex/2026-07-25/sinc/outputs/giant-house-hand-hewn-timber-beam-system-v1/giant_house_hand_hewn_timber_beam_system_v1.blend,RECIPE_PRECEDENT_ONLY,stile.continuous_leg_and_stile=RECIPE_PRECEDENT_ONLY; stile.case_corner_board=RECIPE_PRECEDENT_ONLY,construction PARTIAL,"Registry: 'Hand-hewn structural beam system', donor accepted. Its continuous-stock member logic is precedent for the single-stick stile families - and nothing more: hewn architectural beams share no furniture silhouette, section or joint schedule."
Sinc GH-002 pegged mortise-and-tenon joint,geometry,/Users/kogaryu/Documents/Codex/2026-07-25/sinc/docs/asset-library/MASTER_ASSET_REGISTRY.md (GH-002 row); /Users/kogaryu/Documents/Codex/2026-07-25/sinc/work/giant_house_pegged_mortise_tenon_joint_v1_SELECTION.md; /Users/kogaryu/Documents/Codex/2026-07-25/sinc/outputs/giant-house-pegged-mortise-tenon-joint-v1/giant_house_pegged_mortise_tenon_joint_v1.blend,RECIPE_PRECEDENT_ONLY,frame.stile_rail_muntin_grid=RECIPE_PRECEDENT_ONLY; rail.seat_tenoned=RECIPE_PRECEDENT_ONLY,construction PARTIAL,"Registry: 'Pegged mortise-and-tenon joint', donor accepted. The joint TYPE matches the corpus's pegged frames and tenoned seat rails, so it is a legitimate method precedent - at building scale, so not an exact donor for furniture sections."
