recipe_family,parent_broad_category,member_candidates,member_count,inferred_only_members,evidence_classes_present,invariant_construction,permitted_variation_axes,joints_and_interfaces,incompatible_excluded,proposed_reuse_class,sinc_donor_candidate,objects_unlocked,unresolved_blockers
foot.turned_separate,foot,FC-01-1999_488; FC-02-67_230; FC-05-69_146_3; FC-06-69_146_2; FC-08-2019_59; FC-10-1984_161; FC-11-10_125_1; FC-09-69_146_1,8,FC-09-1954_151,PARTIALLY VISIBLE; VISIBLE,"A lathe-turned solid of revolution, authored as a stacked profile (pad / ball or bun / neck / collar) and joined to the leg or plinth above by a dowel or by being turned in one with the leg blank. Silhouette is fully described by one revolved curve.",ball vs bun vs onion vs trumpet vs toupie silhouette; overall height; max diameter; ring count and pitch in the collar; pad/disc diameter and thickness; dowel diameter,"dowel into plinth or leg (1984.161 explicit); or turned integral with the leg blank (1954.151, unresolved at web resolution); castor socket bored in the pad (69.146.1)","FC-08-69_140ab and FC-10-1971_281 - their 'foot' is the stile running past the lower rail to the floor, NOT a turned solid. FC-04-1972_47 and FC-03-30_120_5 - carved figural. FC-12-2002_298 - spun metal.",parameterized_recipe,"AUDIT_REQUIRED - no turned-solid donor exists in the library; rough_hewn_timber_beam_v1 is hewn, not turned, and shares no lathe logic","chair, stool, chest, bed, table, cabinet - the widest-reaching single recipe in the corpus",No underside view on any member; dowel vs integral turning unresolved on 1954.151 (recorded INFERRED and therefore zero production weight)
foot.integral_stile_termination,foot,FC-08-69_140ab; FC-10-1971_281; FC-03-2011_3; FC-04-1969_262,4,,PARTIALLY VISIBLE; VISIBLE,"NOT a separate part. The vertical member (stile, post or leg) continues past the lowest rail and terminates on the floor. Authoring this as a foot at all is the error; it is a termination treatment on the post recipe.",length below the lowest rail; toe radius or wear rounding; splay/cant angle; optional slight pad flare (1969.262),none - continuous stock. Interface is the lower rail mortise above it.,"every turned-foot member; attaching a turned foot here would require cutting the stile, changing its joint schedule",assembly_grammar,"AUDIT_REQUIRED - candidate rough_hewn_timber_beam_v1 for the continuous-stock logic only; silhouette, section and interfaces NOT compared","wardrobe, chest, settee, side table",2011.3 front feet described as integral but the seam is not resolvable in published views
foot.carved_figural,foot,FC-03-30_120_5; FC-04-1972_47,2,,VISIBLE,"A sculpted animal terminal (claw-and-ball, paw) carved in the solid at the leg foot. Not generable from a revolved profile.",scale; toe/talon count; disc pad diameter under a paw; forward rake,carved integral with the leg blank,all turned and all integral-termination members,bespoke,AUDIT_REQUIRED - none,"settee, side table (2 of 18 objects)",1972.47 notes the disc pad IS separable and reusable alone - a possible sub-part rescue
foot.block,foot,FC-07-1999_79,1,,VISIBLE,"A short rectangular block below a cuff at the bottom of a tapered leg. Prismatic, not revolved.",block height; cuff reed count; taper match to the leg above,continuous with the leg; cuff is an applied moulding run,turned family (different generative primitive),parameterized_recipe,AUDIT_REQUIRED - none,sideboard,single-member family - the split may be an artefact of one object
foot.spun_metal_base,foot,FC-12-2002_298,1,,,"A spun gilt-brass ring/torus seated on a stone plinth. Metal fabrication, not joinery.",lathe profile of the spreading torus; flare ratio; lappet count; bead pitch,sits on the plinth as a separate spun element,all wood families - different material AND different process,bespoke,"AUDIT_REQUIRED - forged_iron_v1 is a MATERIAL, not a spun-metal geometry donor",console/pedestal,individual ring boundaries not countable in published views
post.case_corner_structural,post,FC-06-69_146_2; FC-08-69_140ab; FC-08-2019_59; FC-05-69_146_3,4,,PARTIALLY VISIBLE; VISIBLE,"Square-section vertical carrying the case; mortised on two adjacent faces to receive rails; runs full height corner to corner; face may be reeded, fluted or left plain.",height; square section width; flute/reed count on exposed faces; roundel-block count interrupting the reeding; whether the post projects above the cornice,mortise-and-tenon to rails on two faces; groove for panels where frame-and-panel,"post.panel_muntin (non-structural, no rail mortises on two faces); post.bed_stacked_block (a stacked assembly, not one stick)",parameterized_recipe,"AUDIT_REQUIRED - candidate rough_hewn_timber_beam_v1 for square-section stock; section, joints and editability NOT compared","chest of drawers, wardrobe, desk, cabinet",rear faces unphotographed on 69.146.2 and 2019.59
post.panel_muntin,post,FC-10-1971_281; FC-10-1984_161; FC-03-2011_3,3,,VISIBLE,Intermediate vertical dividing a framed opening into bays. Grooved on BOTH long edges for panels. Carries no case load; its count is the design parameter.,"count (0 muntins = single-panel front, 2 = three bays, 3 = four bays); width; section; whether it carries applied spindles or ornament",stub tenon into upper and lower rails; groove both edges,"post.case_corner_structural - a corner post is grooved/mortised on adjacent faces, a muntin on opposite faces. Different joint schedule, not a size change.",parameterized_recipe,AUDIT_REQUIRED - none,"chest, wardrobe, settee back",none material
post.bed_stacked_block,post,FC-09-69_146_1; FC-09-1954_151,2,,VISIBLE,"A tall post built as an ORDERED STACK of discrete blocks and turnings (plinth block, carved floral block, stepped ring, bead-and-reel band, inlaid rosette square, shaft). The stack ORDER is the recipe; the segments are separate authored parts.",stack order and segment count; total height (1954.151 proves head and foot posts are the same recipe differing ONLY in height); face width; rosette-cell placement,segments stacked and presumably pinned or threaded; bed-bolt interface to the side rails,post.case_corner_structural - that is one stick with applied treatment; this is an assembly of separately authored solids,assembly_grammar,AUDIT_REQUIRED - none,bedstead (both candidates),internal fixing between segments never visible; bed-bolt detail unresolved
post.turned_support,post,FC-11-10_125_1; FC-12-2002_298,2,,,"A free-standing turned upright whose whole silhouette is one revolved profile, carrying a rail or slab above.",diameter relative to neighbouring legs; count along a side; presence at all (a 6-leg table drops the medial posts); segment order for the pedestal shaft,pivot bearing (gate-leg medial post); stacked on plinth (pedestal),post.case_corner_structural (prismatic),parameterized_recipe,AUDIT_REQUIRED - none,"long table, console/pedestal","pedestal internal tie rod ASSERTED not seen - recorded INFERRED, zero weight"
post.board_standard,post,FC-04-1972_47,1,,PARTIALLY VISIBLE; VISIBLE,"A wide flat splayed board acting as a trestle end support, with applied carved layers that can be removed to leave a plain standard.",height; splay angle; board width; taper; applied-ornament on/off,housed to the stretcher; carries the frieze carcase above,all square-section and all turned posts,parameterized_recipe,AUDIT_REQUIRED - none,side table / library table,single-member family
post.arm_support,post,FC-03-30_120_5; FC-01-1999_488; FC-01-2012_216,3,,VISIBLE,"A short upright rising off the seat rail to carry an arm rail. Two sub-shapes co-occur in one object (30.120.59: a tapered front cone-stump AND a wide flat rear post), so the family is defined by ROLE plus a shape parameter, not by one silhouette.",front-vs-rear shape selector; height; taper; facet count; whether it is continuous with the back frame above (2012.216) or terminates at the arm rail,"tenon into seat rail below, into arm rail above",post.case_corner_structural,assembly_grammar,AUDIT_REQUIRED - none,"armchair, settee",2012.216's rear support is explicitly NOT continuous with the back stile - a divergence from the baseline that must not be smoothed over
