subject	element	value	unit	french_quote	evidence_class	source_article	verification
Carcassonne outer enceinte	curtain height, ditch bottom or scarp crest to hoarding floor	10	m	les courtines de la premiere defense sont maintenues a 10 metres environ du fond du fosse ou de la crete de l'escarpement au sol des hourds	documented-reconstruction	Architecture militaire	verified-cycle21-reclassified: RECLASSIFIED cycle 21: the datum is the HOARDING FLOOR (sol des hourds), and every timber superstructure in this group is Viollet's, drawn onto surviving sockets. The socket line is measurable; calling it the hoarding floor embeds a reconstruction.
Carcassonne inner enceinte	curtain height, lices floor to hoarding floor	14 (minimum)	m	les courtines de la seconde enceinte ont, du sol des lices au sol des hourds, 14 metres au moins	documented-reconstruction	Architecture militaire	verified-cycle21-reclassified: RECLASSIFIED cycle 21: same - measured 'du sol des lices au sol des hourds', so the upper datum is a reconstructed element. This is the headline curtain-height rule, so the qualification matters.
French curtains generally, pre-gunpowder	curtain wall thickness (average)	2 to 3	m	des murs de maconnerie de deux a trois metres d'epaisseur (qui est l'epaisseur moyenne des courtines anterieures a l'emploi regulier des bouches a feu)	measured-fabric	Architecture militaire	quote-verified-cycle21
French curtains generally	chemin de ronde width on curtains	2 (maximum)	m	les chemins de ronde qui n'avaient guere que deux metres au plus de largeur	measured-fabric	Architecture militaire	quote-verified-cycle21
French parapets generally	crenellated parapet thickness (peacetime, stone, on wall head)	0.50 to 0.70	m	le mur du parapet dont l'epaisseur varie de 0 m , 50 a 0 m , 70, perce d'archeres rapprochees	measured-fabric	Architecture militaire	quote-verified-cycle21
French wall faces generally	ashlar facing thickness over rubble core	0.30 to 0.50	m	les revetements de pierre qui n'avaient generalement qu'une epaisseur de 30 a 50 centimetres	measured-fabric	Architecture militaire	quote-verified-cycle21
Carcassonne outer enceinte	circuit perimeter measured inside the ditches	1400	m	Le perimetre de l'enceinte exterieure est de 1400 metres en dedans des fosses	measured-fabric	Tour	quote-verified-cycle21
Carcassonne	garrison density rule of thumb	1 man per metre of circuit	men/m	c'est environ un homme par metre de developpement qu'il fallait compter pour composer la garnison d'une ville fortifiee	viollet-conjecture	Tour	quote-verified-cycle21
Vincennes	short side of the enceinte parallelogram, tower projection included	212	m	Le petit cote du parallelogramme de l'enceinte, compris la saillie des tours, a 212 metres	measured-fabric	Architecture militaire	quote-verified-cycle21
Vincennes	curtain length between towers	about 100	m	Les courtines entre les tours ont environ 100 metres de long, ce qui depasse la limite des anciennes escarpes flanquees	measured-fabric	Tour	quote-verified-cycle21
Langres, 16th-century tower front	wall thickness built against artillery	7.00	m	les murs sont epais (7,00 metres), afin de pouvoir resister a l'artillerie des assiegeants	measured-fabric	Architecture militaire	quote-verified-cycle21
Ham, grosse tour	wall thickness	10	m	la grosse tour, batie par le comte de Saint-Pol, et dont les murs ont 10 metres d'epaisseur	documented-reconstruction	Tour	quote-verified-cycle21
Roman city walls	gap between the two masonry facings, earth-filled	20 pieds (about 6.5)	m	il consistait en deux forts parements de maconnerie separes par un intervalle de vingt pieds	documented-reconstruction	Architecture militaire	quote-verified-cycle21
Gaulish timber-and-stone rampart (Caesar)	spacing of the longitudinal timbers	2 pieds (about 0.65)	m	les placent a une distance de deux pieds l'une de l'autre	documented-reconstruction	Architecture militaire	quote-verified-cycle21
Gaulish timber-and-stone rampart (Caesar)	length of the tie timbers	about 40 pieds (about 13)	m	les arbres, ayant environ quarante pieds de long, lies entre eux dans l'epaisseur de la muraille	documented-reconstruction	Architecture militaire	quote-verified-cycle21
Siege contravallation	spacing of the double palisade rows	3 to 4	m	doubles rangs de fortes palissades de bois espaces de la longueur d'une pique (trois a quatre metres)	viollet-conjecture	Architecture militaire	quote-verified-cycle21
