entry_id,source_id,leaf,printed_page,figure_no,caption,topic_tags,section_keyword_in_caption,dimensioned,priority,status
S000,ellis1902,n34,read off page (offset drifts),40,Section of Common Ovolo Sash'Plane,sash_window;moulding;stair,yes,unknown,1,MAPPED
S001,ellis1902,n34,read off page (offset drifts),41,Section of Gothic Ovolo Sash Plane,sash_window;moulding;stair,yes,unknown,1,MAPPED
S002,ellis1902,n34,read off page (offset drifts),42,Grecian Ovolo Sash Plane,sash_window;moulding;stair,no,unknown,1,MAPPED
S003,ellis1902,n34,read off page (offset drifts),44,Astragal and Hollow Plane,sash_window;moulding;stair,no,unknown,1,MAPPED
S004,ellis1902,n34,read off page (offset drifts),45,Hook Joint Plane,sash_window;moulding;stair,yes,unknown,1,MAPPED
S005,ellis1902,n35,read off page (offset drifts),47,Chariot Plane,sash_window;casement,no,unknown,1,MAPPED
S006,ellis1902,n35,read off page (offset drifts),48,Chamfer Plane,sash_window;casement,no,unknown,1,MAPPED
S007,ellis1902,n36,read off page (offset drifts),57,Firmer Gouge,sash_window,no,unknown,1,MAPPED
S008,ellis1902,n36,read off page (offset drifts),58,Plugging Chisel,sash_window,no,unknown,1,MAPPED
S009,ellis1902,n48,read off page (offset drifts),95,"Sash Cramp, Iron",sash_window,no,unknown,1,MAPPED
S010,ellis1902,n48,read off page (offset drifts),96,Scotch Bench Cramp,sash_window,no,unknown,1,MAPPED
S011,ellis1902,n48,read off page (offset drifts),99,Iron Cleat,sash_window,no,unknown,1,MAPPED
S012,ellis1902,n65,read off page (offset drifts),131,Method of Setting Out Dowels,sash_window;door;moulding,yes,unknown,1,MAPPED
S013,ellis1902,n106,read off page (offset drifts),286,Enlarged Detail of Ledge,door;frame_general,yes,unknown,2,MAPPED
S014,ellis1902,n107,read off page (offset drifts),1,THE CHAMFERED,door;frame_general;moulding,no,unknown,2,MAPPED
S015,ellis1902,n107,read off page (offset drifts),289,Section on A B,door;frame_general;moulding,yes,unknown,2,MAPPED
S016,ellis1902,n107,read off page (offset drifts),2,RAISED AND FLAT or RAISED AND FIELDED,door;frame_general;moulding,no,unknown,2,MAPPED
S017,ellis1902,n107,read off page (offset drifts),3,"RAISED, SUNK, AND FIELDED (as at B, Fig",door;frame_general;moulding,no,unknown,2,MAPPED
S018,ellis1902,n109,read off page (offset drifts),293,Plan and Sections of a Chamfered Raised Panel,door;frame_general;moulding,yes,unknown,2,MAPPED
S019,ellis1902,n109,read off page (offset drifts),291,Vertical Section at A,door;frame_general;moulding,yes,unknown,2,MAPPED
S020,ellis1902,n109,read off page (offset drifts),292,Horizontal Section below Lock Rail,door;frame_general;moulding,yes,unknown,2,MAPPED
S021,ellis1902,n109,read off page (offset drifts),294,Bolection Moulding,door;frame_general;moulding,no,unknown,2,MAPPED
S022,ellis1902,n109,read off page (offset drifts),295,"Raised, Sunk, and Moulded Panel",door;frame_general;moulding,no,unknown,2,MAPPED
S023,ellis1902,n109,read off page (offset drifts),296,Panel Slotted for Screws,door;frame_general;moulding,no,unknown,2,MAPPED
S024,ellis1902,n109,read off page (offset drifts),297,Solid or Stuck Mouldings,door;frame_general;moulding,no,unknown,2,MAPPED
S025,ellis1902,n114,read off page (offset drifts),309,Section,door;frame_general,yes,unknown,2,MAPPED
S026,ellis1902,n114,read off page (offset drifts),313,Section,door;frame_general,yes,unknown,2,MAPPED
S027,ellis1902,n117,read off page (offset drifts),317,Joint Edge of Meeting Stile,sash_window;glazing;shutter;door;frame_general,yes,unknown,1,MAPPED
S028,ellis1902,n117,read off page (offset drifts),318,Elevation,sash_window;glazing;shutter;door;frame_general,yes,unknown,1,MAPPED
S029,ellis1902,n117,read off page (offset drifts),319,Sectionon CD,sash_window;glazing;shutter;door;frame_general,yes,unknown,1,MAPPED
S030,ellis1902,n117,read off page (offset drifts),320,Vertical Section,sash_window;glazing;shutter;door;frame_general,yes,unknown,1,MAPPED
