parameter	value	unit	confidence	note	source
buttress_taper_top_over_bottom	5/11	ratio (0.4545)	stated-explicitly	"Depth at top = 5/11 of depth at bottom" — a trapezoidal diminished buttress. Exact authored rule, directly implementable.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Table IV p.216
buttress_height_datum	to the keystone of the vault	—	stated-explicitly	"Height of buttress is taken to the keystone of the vault." Defines what t measures.	ibid. Table IV p.216
stability_criterion	resultant at border of kern	—	stated-explicitly	"Resultant at edge causes overthrow! Resultant at border of kern ensures safety of buttress, if pressure at edge is not too great." = middle-third rule as the buttress-sizing test.	ibid. Table V note p.217
vault_A_plan	4 x 4	m (16 sq m)	measured-table	Smaller tabulated vault bay.	ibid. Table IV p.216
vault_B_plan	8 x 8	m (64 sq m)	measured-table	Larger tabulated vault bay.	ibid. Table V p.217
rise_class_low_u_over_span	0.40	ratio	derived-verified	Labelled "Rise 1/2". u=1.60m at 4m span; u=3.30m at 8m span. Both give u/span 0.40-0.41.	ibid. Tables IV+V
rise_class_mid_u_over_span	0.55	ratio	derived-verified	Labelled "Rise 2/3". u=2.20m at 4m span; u=4.50m at 8m span.	ibid. Tables IV+V
rise_class_high_u_over_span	0.70	ratio	derived-verified	Labelled "Rise 5/6". u=2.80m at 4m span; u=5.70m at 8m span.	ibid. Tables IV+V
vault_rise_scales_with_span	linear	—	derived-verified	Rise u doubles when span doubles (1.60/2.20/2.80 -> 3.30/4.50/5.70, all x2.03-2.05). Vault geometry is similar across sizes; only the buttress is not.	ibid. Tables IV+V
buttress_height_classes_vault_A	5, 10, infinite	m	measured-table	Tabulated buttress heights t for the 4x4 m vault.	ibid. Table IV p.216
buttress_height_classes_vault_B	10, 20, infinite	m	measured-table	Tabulated buttress heights t for the 8x8 m vault.	ibid. Table V p.217
buttress_depth_range_vault_A	0.50 - 3.15	m at bottom	measured-table	Full spread across rise class, buttress height and load column, 4x4 m vault.	ibid. Table IV p.216
buttress_depth_range_vault_B	0.88 - 5.25	m at bottom	measured-table	Full spread across rise class, buttress height and load column, 8x8 m vault.	ibid. Table V p.217
buttress_depth_span_scaling	1.2 - 1.6	x per 2x span	derived-approximate	Matched cells (row a, t=10 m block): rise-mid 1.00->1.60, rise-high 0.90->1.40, rise-low 1.15->1.40. SUB-LINEAR in span. Column alignment on the rise-low row is uncertain; treat as indicative.	ibid. Tables IV+V
buttress_depth_vs_rise	shallower as rise increases	—	measured-table	At fixed span and height, a steeper (higher-rise) vault needs LESS buttress depth. 4x4 m, row a, t=10 m: 1.15 (rise-low) / 1.00 (mid) / 0.90 (high).	ibid. Tables IV+V
overturning_check_points	footing, each widening, each abrupt recession of cross-section	—	stated-explicitly	Why real Gothic abutment is stepped: every recession is a checked pivot.	ibid. p.195
leaf_to_printed_page_formula	leaf = 2 x printed_page + 5	—	derived-verified	Verified on four anchors (p.158/leaf321, p.195/leaf395, p.216/leaf437, p.217/leaf439). Every printed page has a recto scan PLUS a mirror-ghost scan, hence the factor 2. Supersedes the +200 offset guessed in cycle 3.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) vol 1 scan
table_II_subject	Thickness of straight abutment wall	—	stated-explicitly	printed p.212. The WALL counterpart to Table IV's buttress depth — this is the 'thickness of walls' the preface promised. Thickness given in metres.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Table II p.212
abutment_wall_opening_assumption	half the wall length is window opening	—	stated-explicitly	Table II header: 'Length half occupied by openings.' A Gothic abutment wall is sized ASSUMING 50 percent of its length is pierced. Baked into every value in the table.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Table II p.212
wall_height_datum	to the keystone of the vault	—	stated-explicitly	Same datum as the buttress table — height is measured to the vault keystone, not to the eaves.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Table II p.212
rise_class_1_8_vault_A_u	0.60	m	measured-table	Rise class labelled '1/8' for the 4x4 m vault. Five classes now known (Tables II and IV together), where cycle 4 saw only three.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Tables II/IV
rise_class_1_3_vault_A_u	1.25	m	measured-table	Rise class labelled '1/3' for the 4x4 m vault. Five classes now known (Tables II and IV together), where cycle 4 saw only three.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Tables II/IV
rise_class_1_2_vault_A_u	1.60	m	measured-table	Rise class labelled '1/2' for the 4x4 m vault. Five classes now known (Tables II and IV together), where cycle 4 saw only three.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Tables II/IV
rise_class_2_3_vault_A_u	2.20	m	measured-table	Rise class labelled '2/3' for the 4x4 m vault. Five classes now known (Tables II and IV together), where cycle 4 saw only three.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Tables II/IV
rise_class_5_6_vault_A_u	2.80	m	measured-table	Rise class labelled '5/6' for the 4x4 m vault. Five classes now known (Tables II and IV together), where cycle 4 saw only three.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Tables II/IV
wall_thickness_range_vault_A	0.35 - 4.55	m	measured-table	Full spread across rise class, wall height and load column for the 4x4 m vault. The 4.55 m extreme is rise 1/8 at infinite height.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Table II p.212
flatter_vault_needs_thicker_wall	~3x	factor	derived-verified	KEY COUPLING: at matched height and column, wall thickness falls from ~1.00 m (rise 1/8) to ~0.35 m (rise 2/3) — a factor near 3. Confirms and greatly widens cycle 4's 'steeper vault needs shallower buttress'. This is the structural reason Gothic went steep: raising the vault buys back wall mass.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Table II p.212
table_row_letters_a_to_f	sub-cases within a rise class	—	UNRESOLVED	Rise classes I-III print only rows a, d, f while class IV prints a-f, so a-f are sub-cases WITHIN a rise class (not vault types as cycle 4 speculated). Most likely load variants. Legend still not located.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Tables II-V
rise_label_semantics	label does NOT equal u/span	—	UNRESOLVED	u/span for the five classes = 0.15, 0.31, 0.40, 0.55, 0.70 against labels 0.125, 0.333, 0.5, 0.667, 0.833 — no single constant factor, so cycle 4's 'labels are nominal, use 0.40/0.55/0.70' is correct as DATA for three classes but the underlying definition of 'rise' is unresolved. Use the tabulated (label, u) pairs; do not compute from the label.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) Tables II/IV
table_row_a_kind_of_vault	1/2 porous brick vault	—	stated-explicitly	RESOLVED. Rows a-f are 'kind of vault' = the WEB construction, a ladder of increasing dead weight from a half-brick porous web (a) to a brick vault carrying filling and a floor above (f). Explains why depth grows down the rows, and why rise classes I-III print only a/d/f (three representative weights) while class IV prints all six.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.211
