row_uid,candidate_id,broad_component,evidence_class,evidence_weight,uncertainty_type,panel_interface_class,reason_held_out_of_production
R243,FC-08-69_140ab,foot,VISIBLE,1.0,construction,,termination.stile_to_floor (deleted) claimed this as a proved continuous termination. 'Whether it is glued-on or integral is not resolvable under the ebonizing.' The two readings are opposite joint contracts.
R156,FC-04-1969_262,foot,PARTIALLY VISIBLE,0.5,construction,,"'A horizontal seam crosses each leg roughly 12 cm above the floor where the stringing also stops - I cannot tell whether this is an original cuff line or a spliced repair.' A splice IS a joint, so this is construction doubt as well as provenance doubt."
R320,FC-09-69_146_1,moulding run,PARTIALLY VISIBLE,0.5,construction,,Removed from muntin.panel_grooved: neither the opposite-face grooves nor the rail tenons are visible. The row records only 'spacing and count across a panel width'.
R338.b,FC-09-1954_151,rail,NOT DETERMINABLE,0.0,construction,,"'whether the ends are knockdown or fixed' - the rail FORM is fully visible (R338.a, in production) but its end joint is not."
R072,FC-03-2011_3,floating panel,VISIBLE,1.0,construction,inferred_from_type,"panel.floating_wood_in_groove: inferred from type. The row records a carved show face and 'a plain UNGILDED board with a visible horizontal glue joint' - a glued-up board, which is if anything evidence AGAINST a free-floating panel."
R131,FC-04-1972_47,floating panel,VISIBLE,1.0,construction,inferred_from_type,panel: inferred from type - no groove or frame evidence in the row.
R219,FC-07-1999_79,floating panel,VISIBLE,1.0,construction,inferred_from_type,"panel: inferred from type. 'Flat, flush, unornamented fields sitting inside the reeded margins' describes APPLIED margins, which is not a groove."
R317,FC-09-69_146_1,floating panel,VISIBLE,1.0,construction,inferred_from_type,"panel: inferred from type - the row records the marquetry, not the edge."
R165,FC-05-69_146_3,floating panel,PARTIALLY VISIBLE,0.5,construction,unresolved,"panel: unresolved. 'recess depth' is recorded, the capture is not."
R318,FC-09-69_146_1,floating panel,PARTIALLY VISIBLE,0.5,construction,unresolved,panel: unresolved. 'whether bays are flush or recessed' is open.
R273,FC-08-2019_59,floating panel,VISIBLE,1.0,construction,frame_layout_only,"panel.floating_wood_in_groove, final audit: companion row R272 proves frame layout, panel-opening count and peg pattern - never the concealed groove or the floating capture. frame_layout_only is not an admissible interface class."
R381,FC-10-1984_161,floating panel,VISIBLE,1.0,construction,frame_layout_only,"panel.floating_wood_in_groove, final audit: companion row R380 records 'joined frame (stiles + rails + muntins)' and whether ornament is applied - frame layout again, not the capture contract."
R249,FC-08-69_140ab,floating panel,VISIBLE,1.0,construction,unresolved,"panel: unresolved, and its own frame row (R248) states the case-side construction 'cannot be settled'. Admitting the panel would decide by the back door what the frame refuses."
