family_id,lane,status,broad_component,reuse_class,n_member_subrows,construction_invariant,geometry_generator,host_interface,joint_schedule,assembly_role,surface_realization,permitted_variation,incompatible_excluded,member_row_uids,proven_construction_rows,typed_uncertainty,donor_status,note
foot.turned_separate_dowelled,component_recipe,RANKABLE,foot,parameterized_recipe,3,"A lathe-turned solid of revolution made as its OWN part and attached to the member above by a dowel or a square block. The joint is proved, not assumed.",revolve of a 2D profile (pad / ball or bun / neck / collar),"underside of plinth, leg blank or case base","dowel into plinth (1984.161, stated); square block above the ball seen in the underside view (2019.59); applied under the rear post (2011.3)","floor contact, load path into the case","ebonised, gilt or clear-finished turned wood",ball/bun/onion/trumpet silhouette; height; max diameter; ring count and pitch; pad diameter and thickness; dowel diameter,every integral turned terminal - attaching one of these would mean CUTTING the leg and changing its joint schedule; every prismatic termination; the spun-metal base,R294;R405.a;R064.a,R064.a;R294;R405.a,,"AUDIT_REQUIRED - no turned-solid donor located; rough_hewn_timber_beam_v1 is hewn, shares no lathe logic; silhouette/section/joints NOT compared",The only foot family where BOTH the revolved geometry and the host interface are source-visible. This is what v2's foot.turned_separate should have been.
foot.turned_integral_with_leg,component_recipe,RANKABLE,foot,parameterized_recipe,2,"NOT a separate part. The turned terminal is the bottom of the leg or post turning itself - one blank, one lathe setup, no joint at all.",continuation of the leg's own revolve profile,none - continuous stock with the member above,none; the interface upward is the seat rail or lower rail mortise,"floor contact, continuous with the leg",same finish as the leg it terminates,toe fullness; ring/collar count above the toe; where the taper stops,every dowelled or applied foot - they are a different joint contract entirely,R023;R064.b,R023;R064.b,,AUDIT_REQUIRED,"Split from the dowelled family on the joint contract, per the v2 audit. 2011.3 carries BOTH constructions on one object, which is why R064 is split."
foot.turned_interface_unresolved,component_recipe,AUDIT_ONLY,foot,parameterized_recipe,4,Revolved foot geometry is clearly visible; whether it is a separate turning or integral with the member above is NOT resolvable in the published views.,revolve of a 2D profile,UNRESOLVED - the defining open question of this family,UNRESOLVED,floor contact,turned wood,silhouette; height; diameter; ring count,"any row where the interface IS proved, in either direction",R051;R161;R414;R193.a,,R051=construction;R161=construction;R193.a=construction;R414=construction,AUDIT_REQUIRED,"AUDIT_ONLY - an analysis bucket, never a production queue entry. A visible silhouette with an unknown interface cannot authorise a recipe. R193.a arrives here from foot.turned_integral_with_leg: 69.146.2's post 'transitions into' the turned foot, which describes a shape change, not a proved continuity of stock. 67.230 says so outright: 'Whether the foot is integral to the shaft turning or a separate glued turning is not resolvable from these views.' These rows may not establish a joint."
foot.turned_with_castor_socket,component_recipe,RANKABLE,foot,parameterized_recipe,1,Turned foot whose pad is BORED to receive a castor - the socket is part of the recipe.,"revolve, then a bored axial socket",leg or post above; castor stem below,"bored socket, castor stem",floor contact via a rolling castor,turned wood,height; diameter; ring count above the socket; socket bore,feet with a flat resting face and no castor provision (1999.488 states there are none),R322.a,R322.a,,AUDIT_REQUIRED,One evidenced object. The 4th foot (R322.b) is inferred by symmetry and carries zero weight.
foot.disc_pad_separable,component_recipe,RANKABLE,foot,parameterized_recipe,1,A flat circular disc pad that seats a carved foot above it and is explicitly reusable on its own.,revolve - a simple disc,underside of a carved paw/claw master,glued or dowelled seat under the carved foot,floor contact under a bespoke carving,gilt or finished wood,diameter; thickness,"the carved paw above it, which is bespoke sculpture",R137.b,R137.b,,AUDIT_REQUIRED,Extracted from the paw-foot row because the row itself says the pad 'is separable from the paw and reusable alone'. The pad is a recipe; the paw is not.
foot.spun_metal_base,component_recipe,RANKABLE,foot,parameterized_recipe,1,"A spun or cast metal shell sitting on the plinth - a metal process, not woodturning.","revolve, thin-shell",top face of the stone plinth,"seated shell, no wood joint",base of a stacked pedestal,gilt brass,flare ratio; lappet count round the ring; bead pitch on the upper fillet,"all turned-wood feet - different material, process and wall condition",R429,R429,,AUDIT_REQUIRED,Kept separate from wood turning: a spun shell and a solid turning are not one generator even though both are solids of revolution.
termination.leg_toe_prismatic,component_recipe,RANKABLE,foot,parameterized_recipe,2,"A leg blank ending in a prismatic block, pad flare or chamfer - a cut on the leg, not a solid of revolution and not a separate part.",prismatic cut / chamfer on the leg blank,none - continuous with the leg,none below; apron or rail mortise above,floor contact at the end of a tapered leg,"gilt block, reeded cuff, or plain",block height; cuff reed count; chamfer angle; pad flare,all revolved feet,R240;R105.b,R105.b;R240,,AUDIT_REQUIRED,"Per the audit: prismatic integral toes belong in leg-termination logic, not in a foot family. 1969.262 carries an unexplained horizontal seam ~12 cm up which may be an original cuff line or a spliced repair - recorded, not resolved."
post.case_corner_structural_joined,component_recipe,RANKABLE,post,parameterized_recipe,2,"A true structural corner post of a carcase, showing on TWO adjacent faces and mortised on both. Continuity past the case seams is proved by view, not assumed.",extruded square prism with face treatments,case sides and front/back frames on two adjacent faces,mortise-and-tenon on two ADJACENT faces (this is what separates it from a muntin),"carcase corner, primary load path","reeded, fluted or ebonised show faces",height; square section; reed/flute count; roundel diameter at the head; whether the post projects above the cornice,panel muntins (grooved on OPPOSITE faces); applied pilasters (no structural role); posts whose joint schedule is not resolvable,R242;R191,R191;R242,,AUDIT_REQUIRED,69.140ab is the strongest construction evidence in the corpus: 'confirmed in the rear view where the same black post is unbroken past both case seams.'
post.carcase_unresolved,component_recipe,AUDIT_ONLY,post,parameterized_recipe,2,A vertical carcase member whose STRUCTURAL role is not resolvable - it may be a joined corner post or an applied face pilaster.,extruded prism,UNRESOLVED,UNRESOLVED,"carcase front, possibly structural",reeded with carved roundel blocks,height; width; reed count; roundel block count and spacing,"posts with a proved joint schedule, in either direction",R159;R270.a,,R159=construction;R270.a=construction,AUDIT_REQUIRED,"AUDIT_ONLY - a research bucket, not a production recipe. Per the audit: joined structural corner stiles must be split from applied pilasters AND from unresolved carcase posts. These two are the unresolved bucket."
pilaster.applied_face_strip,component_recipe,RANKABLE,post,parameterized_recipe,1,A decorative strip APPLIED to the face of a carcase post. Carries no load and has no mortise; it masks the post behind it.,extruded profile strip,glued to the face of a post or stile,glued applique only,facade decoration,moulded/ebonised show face,width; profile; length; cross-block count,"the structural post underneath, which is a different part with a different joint schedule",R270.b,R270.b,,AUDIT_REQUIRED,Extracted from R270 because the row records the applied strip and the post it masks as two separate things.
