rule_id,rule_group,subject,element,value,unit,value_m,conflict_group,rule_type,source_id,ref,evidence_class,verified_full_res,quote
RL000,building_code,"London town house — party wall, by statute (Fitz-Alwyne's Assize)",party wall thickness (freestone),3 ft,ft,0.914,,rule,addy1898,n137 (printed 103),author-rule,no,"The document known as ""Fitz-Alwyne's Assize,"" dated A.D. 1189, shows that the party-walls of London houses ""were of freestone, 3 feet thick and 16 feet high, from which the roof (whether covered with tiles or thatch)... "" and: ""From a deed bearing date 1217 or 1218, it appears that the corbels or joists for supporting the upper floor were inserted at a height of eight feet from the ground."""
RL001,building_code,"London town house — party wall, by statute (Fitz-Alwyne's Assize)",party wall height,16 ft,ft,4.877,,rule,addy1898,n137 (printed 103),author-rule,no,"The document known as ""Fitz-Alwyne's Assize,"" dated A.D. 1189, shows that the party-walls of London houses ""were of freestone, 3 feet thick and 16 feet high, from which the roof (whether covered with tiles or thatch)... "" and: ""From a deed bearing date 1217 or 1218, it appears that the corbels or joists for supporting the upper floor were inserted at a height of eight feet from the ground."""
RL002,building_code,"London town house — party wall, by statute (Fitz-Alwyne's Assize)",upper-floor joist bearing height above ground (deed 1217/18),8 ft,ft,2.438,,rule,addy1898,n137 (printed 103),author-rule,no,"The document known as ""Fitz-Alwyne's Assize,"" dated A.D. 1189, shows that the party-walls of London houses ""were of freestone, 3 feet thick and 16 feet high, from which the roof (whether covered with tiles or thatch)... "" and: ""From a deed bearing date 1217 or 1218, it appears that the corbels or joists for supporting the upper floor were inserted at a height of eight feet from the ground."""
RL003,bay_module,"Small English house — common room height, XVIc-XVIIc",internal room height (upper bound observed),6 ft,ft,1.829,,rule,addy1898,n137 (printed 103),author-estimate,no,"It is a common thing nowadays to find in houses of the sixteenth and seventeenth centuries rooms not more than 6 feet high, and this is especially the case in the smaller houses."
RL004,bay_module,English structural bay — farm buildings,linear (building) perch = bay length,16 ft,ft,4.877,,rule,addy1898,n101 (printed 67),author-rule,no,"In the twelfth century English buildings were measured by the linear perch of 16 ft. Thus ""the great barn of Walton was 10 1/2 perches in length (a perch being 16 ft.) and 3 perches and 5 ft. in breadth."" [and: 'whilst the length of the English bay is rigidly fixed in farm buildings by the standing room required for two pairs of oxen, considerable variation occurs in the breadth.']"
RL005,unit_system,English land measure — rod / rood,rood breadth,16 ft,ft,4.877,,rule,addy1898,n103 (printed 69),author-rule,no,"the length of the bay, viz. sixteen feet, corresponds to the breadth of a rod or rood of land, the acre being composed of four roods, each 16 feet broad and 640 feet long, lying side by side... [footnote] Strictly the English land measure is 16 1/2, and not 16, feet."
RL006,unit_system,English land measure — rod / rood,rood length,640 ft,ft,195.072,,rule,addy1898,n103 (printed 69),author-rule,no,"the length of the bay, viz. sixteen feet, corresponds to the breadth of a rod or rood of land, the acre being composed of four roods, each 16 feet broad and 640 feet long, lying side by side... [footnote] Strictly the English land measure is 16 1/2, and not 16, feet."
RL007,unit_system,English land measure — rod / rood,land perch / rod (statute),16 ft 6 in,ft in (= 16 1/2 ft),5.029,,rule,addy1898,n103 (printed 69),author-rule,no,"the length of the bay, viz. sixteen feet, corresponds to the breadth of a rod or rood of land, the acre being composed of four roods, each 16 feet broad and 640 feet long, lying side by side... [footnote] Strictly the English land measure is 16 1/2, and not 16, feet."
RL008,bay_module,Roman ox-house — Vitruvius,"ox-stall breadth, minimum",10 ft,ft (Roman),3.048,,rule,addy1898,n101 (printed 67),author-rule,no,"the breadth of ox-stalls should be not less than 10 ft. or more than 15 ft. As regards length, the standing room for each pair of oxen should not be less than 7 ft. [Latin: Bubilium autem debent esse latitudines nec minores pedum denum, nec majores quindenum. Longitudo, uti singula iuga, ne minus occupent pedes septenos.]"
RL009,bay_module,Roman ox-house — Vitruvius,"ox-stall breadth, maximum",15 ft,ft (Roman),4.572,,rule,addy1898,n101 (printed 67),author-rule,no,"the breadth of ox-stalls should be not less than 10 ft. or more than 15 ft. As regards length, the standing room for each pair of oxen should not be less than 7 ft. [Latin: Bubilium autem debent esse latitudines nec minores pedum denum, nec majores quindenum. Longitudo, uti singula iuga, ne minus occupent pedes septenos.]"
RL010,bay_module,Roman ox-house — Vitruvius,"standing room per pair of oxen, minimum",7 ft,ft (Roman),2.134,,rule,addy1898,n101 (printed 67),author-rule,no,"the breadth of ox-stalls should be not less than 10 ft. or more than 15 ft. As regards length, the standing room for each pair of oxen should not be less than 7 ft. [Latin: Bubilium autem debent esse latitudines nec minores pedum denum, nec majores quindenum. Longitudo, uti singula iuga, ne minus occupent pedes septenos.]"
RL011,bay_module,Roman ox-house — Palladius,standing room per pair of oxen,8 ft,ft (Roman),2.438,,rule,addy1898,n101 (printed 67),author-rule,no,"8 ft. are more than sufficient standing room for each pair of oxen, and 15 ft. for the breadth [of the ox-house.] [Latin: Octo pedes ad spatium standi singulis boum paribus abundant, et in porrectione xv.]"
RL012,bay_module,Roman ox-house — Palladius,ox-house breadth,15 ft,ft (Roman),4.572,,rule,addy1898,n101 (printed 67),author-rule,no,"8 ft. are more than sufficient standing room for each pair of oxen, and 15 ft. for the breadth [of the ox-house.] [Latin: Octo pedes ad spatium standi singulis boum paribus abundant, et in porrectione xv.]"
RL013,bay_module,Roman cow-house — Columella,"cow-house breadth, preferred",10 ft,ft (Roman),3.048,,rule,addy1898,n101 (printed 67),author-rule,no,"See also Columella, i. 6. 6. This author fixes the breadth at 10, or at least 9, feet."
RL014,bay_module,Roman cow-house — Columella,"cow-house breadth, minimum",9 ft,ft (Roman),2.743,,rule,addy1898,n101 (printed 67),author-rule,no,"See also Columella, i. 6. 6. This author fixes the breadth at 10, or at least 9, feet."
