candidate_id,slot,name,place,period,source_id,leaf_ref,evidence_class,gate,gate_note,verification,fantasy_role
BC-00-gunthwaite,00_baseline,Gunthwaite Hall barn (BUILDING ZERO),"Gunthwaite, South Yorkshire","medieval, extant",addy1898,n166 (printed 132),measured,PASS,self-checking (11 bays x 15 ft = 165 ft); full parametric set incl. arcade sections and plinth height; aisled - carries the breadth != span warning,quote-bearing manifest rows; source page partially read at full res (cycle 48),baseline grammar reference
BC-01A-kensworth,01_hall_house,Kensworth manor house,"Kensworth, Beds.",XIIc,addy1898,n164-165 (printed 130-131),documentary-survey,PASS,"three dimensioned rooms + roof splits; Latin self-check; conjectural plan is topology-only (measured ~approximate, cycle 49)",full-res page read (cycle 48),"manor hall, 3-room plan"
BC-01B-chalfield,01_hall_house,Great Chalfield Manor great hall,"Great Chalfield, Wilts.",Tudor,garner,n39,author-estimate,PASS,40 x 20 x 20 ft triple in halls corpus; 'about' - author-estimate class,quote-bearing manifest row (english_hall_dimensions_v1),wealthy hall interior
BC-02A-hatfield-mud,02_cot_booth,Great Hatfield mud house,"Mappleton, E. Yorks.","vernacular, extant 1898",addy1898,n72 (printed 38),measured,PASS,"walls, eaves, door, speer all dimensioned",quote-bearing manifest rows,"poor cottage, open hearth"
BC-02B-booth1350,02_cot_booth,"Booth, Bishop Hatfield's Survey",Co. Durham,c. 1350,addy1898,n56 (printed 22),documentary-survey,PASS,20 x 18 ft; Latin quote,quote-bearing manifest rows,single-cell cot / market booth
BC-03A-walton,03_barn,Walton great barn,Walton (St Paul's manor),XIIc,addy1898,n166 (printed 132),documentary-survey,PASS,perch arithmetic self-checks both dimensions; aisling unstated -> derived pitch flagged UNSAFE,full-res page read (cycle 48),"great barn, documentary"
BC-03B-berwick,03_barn,Berwick St Leonard barn,"Berwick St Leonard, Wiltshire",XVc,turnerparker,"someaccountofdom02park n228 (printed ~326, OCR running head)",measured,PASS,"90 x 25 ft, 50 across the transept; consolidated into building_bom_v1 in census cycle 2; printed page number still needs image confirmation",verbatim OCR quote captured; page image not yet inspected,aisled barn with transept
BC-04A-rushy-lee,04_byre_shippon,'Coit' at Rushy Lee,"near Midhope, S. Yorks.","vernacular, extant 1898",addy1898,n103-104 (printed 69-70),measured,PASS,44 x 37 ft; aisled; bay grammar stated,quote-bearing manifest rows,combined dwelling + byre
BC-04B-bolsterstone,04_byre_shippon,Bolsterstone ox-house/barn,"Bolsterstone, S. Yorks.",vernacular,addy1898,n109 (printed 75) + n101,measured,PASS,"section VERIFIED at full res (cruck + outshuts); 8 oxen, 4/bay; 10 ft 8 in breadth; 1688 datestone on later work",plate inspected at full resolution (cycle 49),cruck barn - the section reference
BC-05A-forge1350,05_forge_workshop,Village forge,Co. Durham,c. 1350,addy1898,n56 (printed 22),documentary-survey,PASS,"20 x 18 ft, stated same size as the booth - the corpus's only smithy footprint",quote-bearing manifest rows,smithy
BC-05B-NONE,05_forge_workshop,NONE - second candidate unsourced,,,,,,NONE,no second workshop source in the mined corpus; sourcing decision is Ace's,,
BC-06A-peveril,06_keep_tower,Peak (Peveril) Castle keep,"Castleton, Derbys.","XIIc, extant",addy1898,n192/n197/n198 (printed 158/163/164),measured,PASS,"room triple, door sill height, sentry aperture; roof concealed behind parapet (design reason recorded); section A.B. plate cached UNREAD",quote-bearing manifest rows,small keep / watchtower
BC-06B-coucy,06_keep_tower,Coucy donjon (Viollet),"Coucy, France",XIIIc,viollet,Donjon; Chateau,documented-reconstruction,PASS,DATUM CONFLICT recorded (64 m from ditch bottom vs 65 m unstated); 55 m in Donjon still needs its datum checked (open queue item),quote-bearing manifest rows (viollet_castle_tower_v1),great donjon
BC-07A-crenel-set,07_gate_fortification,Crenel/merlon parametric set,France (Viollet),XII-XIVc,viollet,Creneau (cycle 36 formula),author-rule,PASS,RULES-LANE CROSSOVER: enters rules_v1 as the primary record; candidate row exists for slot coverage,mined formula,battlements everywhere
BC-07B-carcassonne,07_gate_fortification,Carcassonne rows,"Carcassonne, France",restored XIXc,viollet,fortification_geometry_v1 rows,documented-reconstruction,PASS,PROVENANCE FLAG: Viollet's own restoration site; older-manifest re-class is an open queue item,manifest rows,city gate + curtain
BC-08A-fitzalwyne,08_town_house,London party-wall code,London,A.D. 1189,addy1898,n137 (printed 103),author-rule,PASS,"RULES-LANE CROSSOVER (Fitz-Alwyne's Assize): 3 ft x 16 ft freestone walls, joists at 8 ft",quote-bearing manifest rows,urban terrace construction law
BC-08B-viollet-town,08_town_house,Viollet town-fabric rows,France,XII-XVc,viollet,viollet_town_fabric_v1 (16 rows),mixed,PASS,FRONTAGE WIDTH MISSING from entire corpus - the slot's open number,manifest rows,town house
BC-09A-padley,09_chapel_first_floor,Padley Hall,"Padley, Derbys.","medieval, ruin",addy1898,n170-174 (printed 136-140),measured,PASS,"hall + buttery + chapel-over, window schedule down to 2ft6 x 1ft",quote-bearing manifest rows,chapel-over-hall
BC-09B-charney,09_chapel_first_floor,Charney Bassett manor,"Charney Bassett, Berks.",late XIIIc,addy1898,n180 (printed 146),measured,PASS,chapel 12ft5 x 9ft10 over buttery; hall 30 x 16,quote-bearing manifest rows,chapel-over-hall variant
BC-10A-hornsea,10_cellar_crypt,Hornsea church crypt,"Hornsea, E. Yorks.","medieval, extant",addy1898,n228 (printed 194),measured,PASS,near-square crypt with FIREPLACE (6ft2 x 3ft2) - rare feature,quote-bearing manifest rows,undercroft / hideout
BC-10B-lavenham,10_cellar_crypt,Lavenham Guildhall - cellar (and hall),"Lavenham, Suffolk",early XVIc,garner,n125 (printed 108),author-estimate,PASS,"cellar 'about' 31ft9 x 16ft10 x 7ft3, brick stair beneath the staircase, iron-barred windows; bonus: main hall about 30 x 17 ft, 18 in jetty, 'doors were ledged and boarded, hung on massive hand hinges'; building identified from the page itself (Fig. 126 caption) - the two-column OCR had jumbled it",page read at full resolution (census cycle 2),guild hall over a secure cellar
BC-11A-NONE,11_mill,NONE - documented negative,,,,,,NONE,no mill dimension exists in Viollet or Addy (negative_facts); slot held open to force the sourcing decision,,
BC-11B-NONE,11_mill,NONE,,,,,,NONE,as 11A,,
BC-12A-gallarus,12_stone_cell,Gallarus Oratory,"Gallarus, Co. Kerry","early medieval, extant",addy1898,n59 (printed 25),measured,PASS,full openings schedule incl. inclining jambs and door-frame sockets,quote-bearing manifest rows,hermit cell / shrine
BC-12B-teampull,12_stone_cell,Teampull Beannachadh,"Eilean Mor, Flannan Isles","early medieval, extant",addy1898,n60 (printed 26),measured,PASS,all four wall lengths + thickness range; no window at all,quote-bearing manifest rows,remote drystone cell
