candidate_id,accession,component,source_term,count,evidence,reuse_class,variation_axis
FC-01-1999_488,1999.488,front leg,,2,VISIBLE,parameterized recipe reuse,overall length; taper ratio; flute count on the shaft; profile of the carved vase collar under the seat corner; length of the terminal toe. Same lathe recipe drives the rear legs.
FC-01-1999_488,1999.488,rear leg/stile,,2,PARTIALLY VISIBLE,parameterized recipe reuse,"rake angle of the upper stile; length below seat; width and depth of the recessed matte-gilt field in the stile face. NOTE: the turned portion below the seat and the broad raked flat stile above it are aligned in profile, but the junction is masked by the seat rail and gilding, so continuity (the baseline's defining trait) is asserted only as plausible, not seen."
FC-01-1999_488,1999.488,post,,2,VISIBLE,parameterized recipe reuse,"height; facet count on the shaft; presence/absence of the incised lozenge and drilled-dot carving. This is the heavier faceted column at the rear end of each arm arcade, standing on the seat rail and carrying the arm rail."
FC-01-1999_488,1999.488,rail,side seat rail,2,VISIBLE,parameterized recipe reuse,length; depth; whether the lower edge is left straight or cut to the scalloped apron profile; bead run on the top arris.
FC-01-1999_488,1999.488,rail,front seat rail (upholstered over),1,PARTIALLY VISIBLE,parameterized recipe reuse,"length only. Its top and bottom edges are readable from the silk wrap and the gimp/fringe attachment line, but the member itself is never exposed — unlike the side rails it carries no gilt face and no apron."
FC-01-1999_488,1999.488,rail,rear seat rail,NOT DETERMINABLE,NOT DETERMINABLE,parameterized recipe reuse,"No rear or underside view exists in the published set. A rear rail must exist for the seat to be framed, but nothing about its depth, exposure, or shaping can be stated."
FC-01-1999_488,1999.488,rail,arcaded arm rail,2,VISIBLE,assembly-grammar reuse,"length, which drives arch count in lockstep with spindle count (5 arch openings over 4 spindles + 1 post per side here); arch springing height; whether the top face is padded or left as bare gilt. This is the single most transplantable assembly on the object."
FC-01-1999_488,1999.488,turned spindle,,8 (4 per arm; both arms photographed),VISIBLE,exact accepted donor reuse,"height and diameter scaling of one lathe profile (bulbous vase foot, ring collar, tapered shaft, small capital). Already instanced 8x within this object with no visible profile variation — the strongest donor part here."
FC-01-1999_488,1999.488,apron,,2 visible (side rails); front and rear NOT DETERMINABLE,VISIBLE,shared profile or curve reuse,"the scalloped drop curve: ogee step at each end plus a central semicircular pendant. Depth of drop and number of pendants are the axes. Unlike the baseline this apron is SOLID, not pierced, and it may be the shaped lower edge of the seat rail itself rather than an applied board — gilding hides any glue line."
FC-01-1999_488,1999.488,bracket,carved beast-head arm console,2,VISIBLE,genuinely bespoke component,"only the S-curve of the console body is parameterizable (sweep length, scroll tightness of the volute return). The lion/grotesque head with hanging dewlap that terminates it is a sculpt, not a recipe."
FC-01-1999_488,1999.488,brace,"arch-pierced gusset, arm rail to rear stile",2,VISIBLE,shared profile or curve reuse,"triangle proportions and the radius of the single arched piercing. Reads as a flat board gusset, arch cut through, gilded to match."
FC-01-1999_488,1999.488,panel frame,back frame,1,VISIBLE,assembly-grammar reuse,"width, height, rake angle. Two raked stiles plus a rolled crest; the frame is fully exposed gilt on its outer edges and the field is upholstered on BOTH faces. The frame floats clear of the seat — there is an open gap between the bottom of the back and the seat cushion, seen through in the three-quarter view."
FC-01-1999_488,1999.488,floating panel,upholstered back field (not a wooden panel),1,VISIBLE,parameterized recipe reuse,"field size and crown of the padding. Maps to the baseline's framed upper panel slot but the fill is textile, not marquetry — a clean demonstration that the frame and the field are separable slots."
FC-01-1999_488,1999.488,crest/cornice,rolled crest with volute terminals,1,VISIBLE,shared profile or curve reuse,roll radius and the tightness of the spiral at each end. The crest rolls backward over the top of the back and terminates in a carved spiral at both corners.
FC-01-1999_488,1999.488,moulding run,,at least 4 visible (bead/fillet on the top arris of each side seat rail; raised border framing the recessed field of each rear stile),VISIBLE,exact accepted donor reuse,path length only; the swept section is constant. Directly reusable as a generic sweep profile across the whole library.
FC-01-1999_488,1999.488,plinth,arcade base course on the seat rail,2 runs (1 per arm); subdivision into individual blocks NOT DETERMINABLE,PARTIALLY VISIBLE,assembly-grammar reuse,"a low band of raised blocks alternating with recesses along the top of each side seat rail, on which the spindles stand. Block count follows spindle count; block height and recess depth are the axes."
FC-01-1999_488,1999.488,repeated ornament master,carved lion/grotesque head,2,VISIBLE,genuinely bespoke component,"mirror only. One master, instanced left and right. Scale is the only credible variation axis; the modelling must be hand-authored."
FC-01-1999_488,1999.488,repeated ornament master,spiral volute,"at least 6 visible (2 crest terminals, 2 arm-console returns, and the corner volutes at both ends of the photographed side seat rail)",VISIBLE,exact accepted donor reuse,scale and turn count of one spiral. The single highest-frequency ornament on the object and the cheapest to instance across the library.
FC-01-1999_488,1999.488,upholstery webbing,"""original underupholstery materials"" (Met medium line — TEXT, not a view)",NOT DETERMINABLE,INFERRED FROM TYPE,parameterized recipe reuse,"strap count and spacing. Asserted because an over-upholstered seat of this period requires a webbing foundation, NOT because it was seen — there is no underside view and no undressed shot."
FC-01-1999_488,1999.488,padding mass,,"4 (seat, inside back, 2 arm bolsters)",VISIBLE,parameterized recipe reuse,"crown height and edge roll. The seat is a domed fixed over-upholstery, not a loose squab; the arm pads are half-round bolsters. A thin outside-back pad is implied by the profile but its thickness is not readable."
FC-01-1999_488,1999.488,cover shell,,"2 materials over 5 areas visible (figured/brocaded silk on seat, inside back, outside back and front rail; blue silk velvet on the 2 arm bolsters)",VISIBLE,parameterized recipe reuse,"pattern swap and per-area assignment. The two-material split (patterned body, plain contrast on the touch surfaces) is itself a reusable rule."
FC-01-1999_488,1999.488,trim path,gimp / chainette braid,at least 8 discrete runs (every silk-to-wood and silk-to-velvet junction),VISIBLE,exact accepted donor reuse,path length and colourway. One woven section swept along every upholstery boundary — the cheapest possible way to make any upholstered asset read as period.
FC-01-1999_488,1999.488,trim path,knotted-net tassel fringe,"1 run, across the front seat rail only; individual tassel count NOT DETERMINABLE with confidence",VISIBLE,parameterized recipe reuse,"drop length, net-header row count, tassel pitch, colour mix. Note it is deployed on the FRONT ONLY — the sides are exposed gilt rail and apron. That asymmetry is a construction fact, not a photographic accident: the profile view shows the fringe stopping at the front corner."
FC-01-1999_488,1999.488,foot,turned toe,4,VISIBLE,exact accepted donor reuse,"length of the peg-like tip and the ring above it. All four tips are photographed and all four are plain turned toes — there are no castors, castor cups or sockets."
FC-01-2012_216,2012.216,front leg,,2,VISIBLE,parameterized recipe reuse,"Short ring-and-vase turned gilt leg with a bead-and-reel collar ring above a stepped cylinder. Variation: overall height, collar bead count and bead diameter, number and depth of ring cuts, shaft taper, whether the collar is beaded or plain reeded."
FC-01-2012_216,2012.216,rear leg/stile,,2,VISIBLE,parameterized recipe reuse,"IMPORTANT DIVERGENCE FROM BASELINE: the rear support here is NOT continuous with the back stile. It is a short turned leg of the same family as the front leg, applied under a concealed seat frame; the show-wood back stile stops at arm level and never reaches the floor. Variation: same turning parameters as the front leg, plus rake angle and whether the rear pair is shortened relative to the front "
FC-01-2012_216,2012.216,castor,,4,VISIBLE,exact accepted donor reuse,"Brass cup castor: turned cup socket over the leg toe, swivel yoke, single wide wheel. Wheels are turned outward at differing angles in the photograph, confirming live swivels. Variation: cup diameter and depth, wheel diameter and material (brass vs leather vs ceramic), yoke offset, plain vs plate-mounted."
FC-01-2012_216,2012.216,rail,arm rail,2,VISIBLE,shared profile or curve reuse,"The swept show-wood arm rail: a single continuous curved member that rises from the front terminal, dips into a shallow scoop under the elbow, and turns up into the back stile without a joint break. Variation: sweep radius, scoop depth, section width, and whether the top face is plain rounded (as here) or carries a moulding run."
FC-01-2012_216,2012.216,post,back stile (show-wood),2,VISIBLE,shared profile or curve reuse,"Curved gilt stile forming the outer edge of the back frame, continuous with the arm rail below and the crest above. Variation: curvature, height, section, and whether the inner face carries the reeded-and-inlaid band (it does on the inside face only)."
FC-01-2012_216,2012.216,crest/cornice,,1,VISIBLE,shared profile or curve reuse,"Moulded gilt top rail wrapping the back in a flattened D-curve with rounded corners; plain and unornamented on the outside face, reeded and disc-inlaid on the inside face. Variation: corner radius, crown height, arc width, and the outside/inside ornament asymmetry (which is a strong reusable rule in itself)."
FC-01-2012_216,2012.216,panel frame,arm support / sub-arm panel,2,VISIBLE,assembly-grammar reuse,"One per arm. The frame is arm rail above, moulded lower rail below, and a winged monopodium bracket at each end; the pierced lattice fills the field between. This four-sided grammar (rail / rail / bracket / bracket enclosing a pierced field) is the single most transferable assembly rule on the object. Variation: field length, field height, end-bracket type."
FC-01-2012_216,2012.216,apron,,2,VISIBLE,shared profile or curve reuse,"The moulded lower rail closing the pierced arm panel, running as a shallow ogee curve and carrying the pendant drops. Variation: moulding profile, curve sag, drop spacing."
FC-01-2012_216,2012.216,lattice upright,,NOT DETERMINABLE,VISIBLE,parameterized recipe reuse,"Slim reeded gilt vertical bars dividing the arm panel into cells; three rows are clearly readable, but the column count cannot be established because the carved wings overlap the top row at both ends and the central cartouche masks the middle columns. Variation: bar width, reed count per bar, column pitch, panel depth."
FC-01-2012_216,2012.216,lattice bridge,,NOT DETERMINABLE,VISIBLE,parameterized recipe reuse,"Horizontal members crossing the uprights; each cell intersection is closed by a raised circular ring bezel. Three horizontal courses are visible. Variation: row pitch, bridge section, ring bezel diameter and relief height."
FC-01-2012_216,2012.216,repeated ornament master,mother-of-pearl,NOT DETERMINABLE,VISIBLE,exact accepted donor reuse,"THE KEY MASTER: a flat circular mother-of-pearl disc seated in a raised gilt ring bezel. It appears at two scales — large in every cell of both arm lattices, small along the whole inside crest and stile run. Total count is not determinable (wings and cartouche mask cells; the crest run continues past the frame of every published view). Variation: disc diameter, bezel wall height, disc material (na"
FC-01-2012_216,2012.216,inlay path,,1 continuous path (inside face of back frame only),VISIBLE,parameterized recipe reuse,"An evenly arc-length-spaced run of the disc-in-bezel master travelling up one stile, across the crest and down the other stile, set into a reeded ground. Absent from the outside face of the same frame. Variation: path curve, spacing pitch, disc size, and the inside/outside asymmetry rule."
FC-01-2012_216,2012.216,moulding run,reeded band,2 (inside crest band; arm panel lower rail),VISIBLE,shared profile or curve reuse,"Multi-fluted reeded hollow, dark-glazed against the burnished gilt, carrying the inlay path. Variation: reed count, reed depth, band width, glaze contrast, and whether it hosts an inlay path or runs plain."
FC-01-2012_216,2012.216,bracket,winged monopodium / griffin terminal,4,VISIBLE,assembly-grammar reuse,"Carved snarling lion/griffin head above a pair of swept feathered wings that taper down into a scrolled foot; two per arm, one at each end of the pierced panel, mirrored. Acts structurally as the end post of the panel frame. Variation: head species and expression, wing sweep angle and feather row count, shaft length and taper, scroll terminal size."
FC-01-2012_216,2012.216,repeated ornament master,anthemion / palmette cartouche,2,PARTIALLY VISIBLE,exact accepted donor reuse,"Central carved palmette cartouche with a fluted crown and four flanking S-scroll tendrils, straddling the middle of each arm lattice. Directly seen on one arm only; the second is asserted from the object's bilateral symmetry, not observed. Variation: cartouche height, tendril count and curl tightness, flute count in the crown."
FC-01-2012_216,2012.216,finial,pendant drop,NOT DETERMINABLE,VISIBLE,exact accepted donor reuse,"Small turned ball drops hanging from the lower rail of each pierced arm panel at regular intervals; roughly six are readable on the near arm but the run is cut off by the cartouche and the frame edge, so no honest total. Variation: drop diameter, stem length, pitch along the rail."
FC-01-2012_216,2012.216,strap/band,,4,VISIBLE,exact accepted donor reuse,"A carved double band wrapping each monopodium shaft where the wings meet the panel frame, reading as a binding strap. One per bracket. Variation: band count (single/double/triple), band width, wrap angle."
FC-01-2012_216,2012.216,floating panel,,3,VISIBLE,assembly-grammar reuse,"The inside back, the outside back, and the seat each read as a discrete field set within a show-wood lip — but on this chair the field is upholstery, not wood: a padded volume dropped into the frame rebate. Variation: field crown/loft, edge radius, and the substitution of a wood panel for the padded one (the frame grammar is identical either way)."
FC-01-2012_216,2012.216,padding mass,original underupholstery,"5 distinct padded regions visible (seat, inside back, outside back, 2 side/arm pads); internal layering NOT DETERMINABLE",PARTIALLY VISIBLE,parameterized recipe reuse,"Loose horsehair is exposed at losses along the seat-to-arm seam, confirming a hair-over-foundation build; the loft is a soft crowned dome on the back and a firmer rolled front edge on the seat. Depth, spring layer, and stitched edge rolls are not observable. Variation: crown height, edge-roll radius, firmness, tufting (this example is untufted — a smooth-lofted variant)."
FC-01-2012_216,2012.216,cover shell,original silk velvet,5 (matching the padded regions) plus the seat-rail skirt,VISIBLE,parameterized recipe reuse,"Figured silk velvet, crimson pile on an olive-gold ground, in a repeating medallion / framed-square / fret pattern that is deliberately centred on each face. Variation: this is a texture master, not geometry — pattern scale, pile colour, ground colour, and how the repeat is registered to each panel's centre."
FC-01-2012_216,2012.216,trim path,galloon; netted fringe,"3 distinct trim runs (edge gimp, seat-rail border band, fringe skirt)",VISIBLE,parameterized recipe reuse,"(1) A narrow twisted gimp following every upholstery-to-show-wood seam; (2) a wide woven border band of velvet dots ringing the seat rail; (3) a deep knotted-net fringe hung from a woven header, with a pompom course and long cut-thread tails, skirting the entire seat and hiding all four rails. Variation: fringe drop length, net mesh size, pompom pitch, header width, gimp diameter."
FC-01-2012_216,2012.216,rail,seat rails,NOT DETERMINABLE,INFERRED FROM TYPE,parameterized recipe reuse,"Asserted because a castored over-upholstered chair must have a closed seat frame to tack to and to receive the leg dowels — NOT observed. The fringe skirt covers the rails completely in every published view and there is no underside image. Variation: rail depth, curvature (this seat is barrel-plan, so the rails are almost certainly shaped or segmented rather than straight)."
FC-01-2012_216,2012.216,upholstery webbing,,NOT DETERMINABLE,INFERRED FROM TYPE,parameterized recipe reuse,"Asserted from type only. No underside view exists, so strand count, direction, interlace and tacking are entirely unobserved. Variation: strand width and pitch, interlaced vs parallel, sag."
FC-01-2012_216,2012.216,brace,corner blocks,NOT DETERMINABLE,NOT DETERMINABLE,parameterized recipe reuse,"Corner blocking is normal at the leg/rail junctions of a castored chair but nothing at all is visible; not even inferred with confidence, because the barrel plan may use a laminated curved rail instead of blocked corners."
FC-01-2012_216,2012.216,stretcher,,0,VISIBLE,genuinely bespoke component,"RECORDED AS ABSENT, and the absence is legible: the leg crop shows clear air between all four legs. The baseline chair's lower stretchers have no counterpart here — castors and short legs replace the braced understructure entirely. Worth keeping as an explicit 'no-stretcher' variant flag on the chair recipe."
FC-02-67_230,67.230,front leg,,4,VISIBLE,parameterized recipe reuse,"Shaft length, shaft diameter, flute/reed count and depth, degree of entasis or taper, collar ring count and spacing at each end of the shaft. All four legs are identical, so one recipe with a single length parameter retargets from footstool (30.5 cm overall) to bench, table, or plinth height."
FC-02-67_230,67.230,finial,carved lotus-bud capital block at the leg head (museum supplies no term),4,VISIBLE,parameterized recipe reuse,"Bell profile (campaniform, inverted from the shaft), petal count and overlap, carving depth, and critically the square-top-to-round-bottom transition width, which must match the rail box section above and the shaft diameter below. Retargeting to a wider rail simply widens the square top."
FC-02-67_230,67.230,foot,,4,VISIBLE,parameterized recipe reuse,"Ovoid/bullet toe fullness, height of the chevron band, number of incised triangles in the band, and the turned collar above it. Whether the foot is integral to the shaft turning or a separate glued turning is not resolvable from these views."
FC-02-67_230,67.230,rail,,4,PARTIALLY VISIBLE,assembly-grammar reuse,"Four flat boards mitred into a closed rectangular box, no visible break for a separate apron member. Long front rail and both short rails are visible; the rear long rail is never shown in any published view and is inferred by symmetry. Variation: rail height, plan aspect ratio (here 15.5 x 12 in.), and ornament assignment per face (long faces carry the relief, short faces carry the painted row)."
FC-02-67_230,67.230,brace,"corner glue block behind the mitre, joining rail box to leg head",NOT DETERMINABLE,INFERRED FROM TYPE,assembly-grammar reuse,Present because a mitred four-board box on four columns cannot stand without internal corner reinforcement or a leg dowel running up into the corner. Nothing in any published view shows the inside of the frame. Variation axis is block section and whether the leg is dowelled or tenoned.
FC-02-67_230,67.230,repeated ornament master,"winged sun disk with flanking uraei, carved in low relief and polychromed",1 visible on the front long rail; total NOT DETERMINABLE because the rear long rail is never shown,VISIBLE,exact accepted donor reuse,"Wingspan scales to rail length; feather-row count and disk diameter scale with it. This is the single highest-value donor element in the object: it drops unchanged onto any long horizontal ground (cabinet frieze, door head, chest front, cornice). Whether it is carved integral to the rail or is an applied plaque is not resolvable, though a shrinkage split in the black ground appears to stop at the "
FC-02-67_230,67.230,repeated ornament master,"painted lotus blossom alternating with pointed bud, in a row along the short rails",4 blossom-plus-bud units on the visible short rail; other faces NOT DETERMINABLE,VISIBLE,parameterized recipe reuse,"Unit pitch and repeat count along the run, blossom-to-bud ratio, and whether the row is painted flat (as here) or carved. Density is the main knob for retargeting to longer runs."
FC-02-67_230,67.230,repeated ornament master,carved overlapping lotus petal on the capital bell,NOT DETERMINABLE (petals wrap the bell; only the near faces are visible),PARTIALLY VISIBLE,shared profile or curve reuse,"Petal count around the bell, petal length relative to bell height, tip sharpness. The same petal profile is the generative unit for the capital and could be re-swept onto vase turnings, urn bases, or column feet."
FC-02-67_230,67.230,inlay path,"painted line, zigzag and dot banding (painted, NOT inlaid)","NOT DETERMINABLE (multiple discrete runs; framing lines on rails, a zigzag band on each short rail, a triangle band on each capital top and each foot)",VISIBLE,parameterized recipe reuse,"Line weight, colour pair, zigzag amplitude and wavelength, triangle count per band. This is the baseline's linear-inlay slot executed as paint rather than inlay, so the path generator is shared and only the surface shader differs."
FC-02-67_230,67.230,trim path,woven gimp braid,"2 continuous runs (one at the pad's lower edge, one at the rail's bottom edge)",VISIBLE,exact accepted donor reuse,"Braid width, weave pitch, colour sequence. Path is a closed loop around a rectangular perimeter, so it retargets to any frame outline by re-lofting."
FC-02-67_230,67.230,trim path,bullion / twisted worsted fringe with scalloped hang,1 continuous run around the lower gimp,VISIBLE,parameterized recipe reuse,"Cord length, twist pitch, cords per unit length, scallop depth at the corners. Note this run is PRESENT in the colour view and one B&W view but ABSENT in the other B&W view, which documents two different trim states for the same frame."
FC-02-67_230,67.230,cover shell,velvet / plush upholstery cover,1,VISIBLE,parameterized recipe reuse,"Cover material and pile direction, corner-gather treatment, and the overhang past the rail face. Two visibly different covers are documented across the three views (a plain pile and a finely ribbed one), which proves the cover is a swappable slot over an unchanged frame."
FC-02-67_230,67.230,padding mass,,1,PARTIALLY VISIBLE,parameterized recipe reuse,"Dome height, edge roll radius, and plan overhang past the rail. The silhouette is fully readable through the cover; the internal stuffing is not visible in any view."
FC-02-67_230,67.230,upholstery webbing,,NOT DETERMINABLE,INFERRED FROM TYPE,assembly-grammar reuse,"Asserted because an overstuffed pad of this dome must bear on either webbing or a solid platform across the rail box. No underside view exists, so which of the two is used is unknown. Variation axis is strand count and spacing, or platform thickness if it is a board."
FC-03-2011_3,2011.3,rear leg/stile,,2,VISIBLE,exact accepted donor reuse,"height, square section width, front-face ornament (the applied pendant palmette can be swapped or dropped); the member itself is a plain unmoulded square post and retargets to bed posts, dais posts, pew ends, balustrade newels without change"
FC-03-2011_3,2011.3,foot,,2,VISIBLE,parameterized recipe reuse,"turned compressed bun applied under each rear post; radius, height, and squash ratio. Note the two FRONT feet are NOT separate parts - they are the integral turned ovoid toe terminating the front leg turning, so a bun-foot recipe only serves the rear pair"
FC-03-2011_3,2011.3,front leg,,2,VISIBLE,parameterized recipe reuse,"single lathe profile in four zones - scale/pinecone-carved bulb at top, plain tapering cone, short stiff-leaf and flute collar, turned ovoid toe. Retarget by changing overall length, taper angle, and whether the top bulb carries scale carving or is left plain"
FC-03-2011_3,2011.3,rail,seat rail,4,VISIBLE,exact accepted donor reuse,"front, two side and rear seat rails, tenoned into the posts and leg blocks. Front and side rails are gilt show faces carrying paterae; the rear rail is left in bare wood (seen in alt4/alt8). Vary by length, depth of the band, and paterae pitch"
FC-03-2011_3,2011.3,rail,back frame rail,2,VISIBLE,assembly-grammar reuse,top and bottom rails bounding the upholstered back opening between the two rear posts; visible only from behind. Vary by opening height and by bay count (see post)
FC-03-2011_3,2011.3,rail,carved frieze / anthemion band,1,VISIBLE,parameterized recipe reuse,the wide back top rail whose front face is carved with the palmette frieze. Length drives the repeat count; the same rail with the ornament stripped is a plain crest rail
FC-03-2011_3,2011.3,rail,arm,2,VISIBLE,parameterized recipe reuse,"reeded cylindrical rod running fore-aft, one per side, ram's-head terminal at the front, dying into a carved bracket at the rear post. Vary by length, reed count, and terminal (ram head / lion head / plain volute)"
FC-03-2011_3,2011.3,crest/cornice,pediment,1,VISIBLE,parameterized recipe reuse,"a single shaped board forming a low triangular pediment, carved in relief on the FRONT ONLY - the rear views prove the back face is a plain sawn board with a screw and peg line where it fixes to the top rail. Vary by pitch angle, span, and the relief content (here twin paterae flanked by mirrored S-scroll rinceau with an apex shell)"
FC-03-2011_3,2011.3,panel frame,,2,VISIBLE,exact accepted donor reuse,"moulded, mitred rectangular frame per side, carrying the spindle gallery on its top edge and the seat rail beneath. Vary by aspect ratio and moulding profile"
FC-03-2011_3,2011.3,floating panel,,2,VISIBLE,parameterized recipe reuse,"carved rinceau field (scrolling foliate stems around a central patera) on the show face; the inner face is a plain UNGILDED board with a visible horizontal glue joint (main.jpg arm crop). Vary by field content - rinceau, guilloche, plain - independently of the frame"
FC-03-2011_3,2011.3,post,back muntin,1,VISIBLE,assembly-grammar reuse,"central vertical member dividing the upholstered back into two webbing bays; visible only in alt4 with the outer cover off. Bay count is the variation axis - a chair takes 0, this settee 1, a longer sofa 2 or 3"
FC-03-2011_3,2011.3,gallery,,2,VISIBLE,assembly-grammar reuse,"the spindle run between the panel frame top edge and the underside of the arm rail, one per side. Grammar = (rail above) + (n spindles) + (rail below); vary n with run length"
FC-03-2011_3,2011.3,turned spindle,,14,VISIBLE,exact accepted donor reuse,"7 per side, counted in three independent views (main.jpg arm crop, alt1 crop, alt9 crop). Ball-topped baluster on a small collar and plinth, doweled top and bottom. Vary by height, ball diameter, and count per run"
FC-03-2011_3,2011.3,bracket,,4,VISIBLE,shared profile or curve reuse,"two types, mirrored: (a) 2 FRONT arm supports - a scrolled acanthus volute over the panel front stile, capped by a gadrooned turned capital under the ram head; (b) 2 REAR arm brackets - a carved anthemion block with scrolled corners applied to the rear post face where the arm rail lands. Both are the same S-curve family at different scales"
FC-03-2011_3,2011.3,finial,,2,VISIBLE,exact accepted donor reuse,"carved pinecone on a gadrooned petal collar, doweled to the flat top of each rear post. Vary by scale-row count, overall height, and collar profile; retargets directly to bed posts, gate piers, railing standards"
FC-03-2011_3,2011.3,repeated ornament master,paterae / rosettes,26,VISIBLE,exact accepted donor reuse,"circular rosette paterae applied to the seat rails - 12 on the front rail, 7 on each side rail, none on the rear rail. One master disc, instanced along a path; vary by disc diameter, petal count, and pitch"
FC-03-2011_3,2011.3,repeated ornament master,anthemion / palmette,10,VISIBLE,exact accepted donor reuse,"palmettes along the front face of the frieze rail, alternating with a narrower paired lotus-bud element; counted at a measured ~71px pitch across the frieze span in alt6. Vary by pitch and by whether the alternating filler is present"
FC-03-2011_3,2011.3,repeated ornament master,pendant palmette,2,VISIBLE,exact accepted donor reuse,a single heart-shaped palmette-and-scroll drop applied to the front face of each rear post. Vary by length to suit post height
