candidate_id,v1_component,v2_recipe_family,v1_reuse_class,v2_reuse_class,evidence_class,correction_reason
FC-01-1999_488,rear leg/stile,stile.continuous_leg_and_stile,parameterized_recipe,assembly_grammar,PARTIALLY VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-01-1999_488,post,post.arm_support,parameterized_recipe,assembly_grammar,VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-01-1999_488,rail,rail.swept_show_wood_arm,parameterized_recipe,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-01-1999_488,rail,rail.swept_show_wood_arm,parameterized_recipe,shared_profile,PARTIALLY VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-01-1999_488,rail,rail.swept_show_wood_arm,parameterized_recipe,shared_profile,NOT DETERMINABLE,reclassified to shared_profile: only the authored section/path is shared.
FC-01-1999_488,rail,rail.swept_show_wood_arm,assembly_grammar,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-01-1999_488,moulding run,moulding.profile_library,exact_donor,shared_profile,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to shared_profile: only the authored section/path is shared."
FC-01-1999_488,repeated ornament master,ornament.figural_bespoke,exact_donor,bespoke,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to bespoke: construction cannot honestly be produced by any family here."
FC-01-1999_488,foot,foot.turned_separate,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-01-2012_216,post,post.arm_support,shared_profile,assembly_grammar,VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-01-2012_216,panel frame,frame.applied_moulded_surround,assembly_grammar,parameterized_recipe,VISIBLE,
FC-01-2012_216,floating panel,panel.upholstered_field,assembly_grammar,parameterized_recipe,VISIBLE,
FC-01-2012_216,rail,rail.swept_show_wood_arm,parameterized_recipe,shared_profile,INFERRED FROM TYPE,reclassified to shared_profile: only the authored section/path is shared.
FC-02-67_230,brace,brace.corner_glue_block,assembly_grammar,parameterized_recipe,INFERRED FROM TYPE,
FC-02-67_230,repeated ornament master,ornament.instanced_relief_master,exact_donor,assembly_grammar,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-02-67_230,repeated ornament master,ornament.instanced_relief_master,parameterized_recipe,assembly_grammar,VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-02-67_230,repeated ornament master,ornament.instanced_relief_master,shared_profile,assembly_grammar,PARTIALLY VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-03-2011_3,foot,foot.integral_stile_termination,parameterized_recipe,assembly_grammar,VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-03-2011_3,rail,rail.swept_show_wood_arm,exact_donor,shared_profile,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to shared_profile: only the authored section/path is shared."
FC-03-2011_3,rail,rail.swept_show_wood_arm,assembly_grammar,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-03-2011_3,rail,rail.swept_show_wood_arm,parameterized_recipe,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-03-2011_3,rail,rail.swept_show_wood_arm,parameterized_recipe,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-03-2011_3,crest/cornice,crest.shaped_sawn_board,parameterized_recipe,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-03-2011_3,panel frame,frame.assembled_from_members,exact_donor,assembly_grammar,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-03-2011_3,post,post.panel_muntin,assembly_grammar,parameterized_recipe,VISIBLE,
FC-03-2011_3,repeated ornament master,ornament.instanced_relief_master,exact_donor,assembly_grammar,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-03-2011_3,repeated ornament master,ornament.instanced_relief_master,exact_donor,assembly_grammar,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-03-2011_3,repeated ornament master,ornament.instanced_relief_master,exact_donor,assembly_grammar,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-03-2011_3,moulding run,moulding.repeating_cell_run,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-04-1972_47,post,post.board_standard,assembly_grammar,parameterized_recipe,PARTIALLY VISIBLE,
FC-04-1972_47,foot,foot.carved_figural,exact_donor,bespoke,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to bespoke: construction cannot honestly be produced by any family here."
FC-04-1969_262,rear leg/stile,stile.separate_rear_leg,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
