candidate_id,accession,evidence_blockers,hidden_construction
FC-01-1999_488,1999.488,"The five views are front, three-quarter front, one full profile, and two close details of the SAME arm. There is NO rear view, NO underside, NO raking or detail shot of the legs or feet, and no undressed/conservation image. Consequences: (a) the rear seat rail is entirely unevidenced; (b) the baseline's diagnostic continuous rear-leg-and-stile cannot be confirmed or refuted, because the one junction that would settle it sits behind the seat rail and under gilding; (c) the webbing and any spring ","Every joint is buried under gesso and gilding — this object shows less joinery than a plain oak chair would, and no view compensates. Inferred but unseen: mortise-and-tenon seat frame with glued corner blocks; tenons at both ends of each of the 8 spindles into the plinth course below and the arcaded rail above; a tenon or dowelled joint where each arm rail's rear meets the faceted post, and where the arch-pierced gusset lands on the rear stile; a dowelled or tenoned junction between rear leg and"
FC-01-2012_216,2012.216,"The view budget is spent on surface, not structure. There is no underside view, no rear-three-quarter full view, no full front elevation, and no image of the chair with upholstery removed or lifted. Four of the six published images are macro close-ups of the velvet. Consequences: (1) the entire seat frame — rails, corner blocks, leg-to-rail joint, tacking line — is unobserved; (2) webbing, springs and stitched edge rolls are unobserved; (3) the leg-to-frame attachment (dowel, screw, or turned te","Everything load-bearing is concealed. The chair is built over-frame: a shaped, probably laminated or segmented barrel seat frame carries all four short turned legs, and the show-wood elements (arm rail, back stile, crest, panel frame, monopodia) are applied to or joined into that hidden carcass. The junction where the arm rail turns up into the back stile appears continuous in the gilding, but whether it is one shaped member, a scarf joint, or two members with the seam filled and gilded over can"
FC-02-67_230,67.230,"The three published views are all three-quarter views from a similar front-left/front-right elevation, so the view count passes the gate mechanically but the angular coverage is thin. Specifically unresolved: (1) NO underside view — webbing versus a board platform, the leg-to-rail joint, corner blocks, and any maker's stamp are all invisible; (2) NO plan/top-down view — the pad's exact plan and overhang are estimated from the oblique; (3) NO straight elevation and NO rear view — the rear long ra","Everything above the rail's top edge and everything inside the box is concealed. The pad's foundation (webbing, a solid board, or a webbed slip-frame) is asserted from type only. The leg-to-frame joint is hidden behind the mitred external arris — the leg head does not read through the rail face at all, which means either a dowel or tenon runs up into a corner block, or the capital block is itself the corner post with the rails housed into it. The two readings produce different kit topologies and"
FC-03-2011_3,2011.3,"No underside or tipped view exists, so: seat webbing count and direction, the presence and size of corner blocks, and the front-leg-to-rail joint (dowel? tenon? screwed block?) are all unresolved. No raking-light or detail shot of any joint - the gilding and gesso bury every joint line on the show faces, so mortise-and-tenon is inferred from period practice, not seen. Whether the seat squab is loose/liftable or tacked down cannot be settled: its boxed edge overhangs the rails and it carries corn","Inferred, not seen: the seat rails and back rails are mortise-and-tenoned into the rear posts and into square blocks at the front leg heads, in the standard English Regency manner; the front legs are almost certainly separate turnings doweled or tenoned up into those blocks, since the turned bulb starts immediately under the rail. Corner blocks are expected inside all four seat corners but none are visible. The carved show elements - crest pediment, frieze, panel fields, brackets, ram heads, fin"
FC-03-30_120_59,30.120.59,"No underside or plan view exists in any of the nine images — every frame photograph is taken from seat level or above, so the bottom faces of the rails, the full corner-block set, and any maker's marks are unresolved. The exact number of internal seat cross braces cannot be fixed: at least four distinct front-to-back members plus one longitudinal member are visible, but the end bays are occluded by the arm posts in every angle. Joint TYPE is only partly resolved — round pegs are clearly visible ","This candidate is unusual: four of the nine images are museum photographs of the object COMPLETELY STRIPPED to its bare frame (243751, 243752, 243753, 243754), from front-quarter, rear-quarter, and two end close-ups. They show what a finished settee never shows. The visible skeleton: a closed seat rectangle of four secondary-wood rails, pinned with round pegs; inside it a longitudinal medial member crossed by several front-to-back braces forming the seat platform; triangular glue blocks in the c"
FC-04-1972_47,1972.47,"Eleven views, all CC0, but they are all exterior and all from one long face. Specifically unresolved: (1) NO underside view and NO rear elevation - every long-side image (the primary and one additional view) shows the same face, confirmed by the hemisphere globe sitting on the same end in both, so the opposite long face is entirely unseen. (2) Consequently the drawer count on the far face is unknown - the object may have four more drawers, four dummy fronts, or a plain panelled face. (3) NO draw","What can be reasoned rather than seen. The load path is legible even though the joints are not: four paw feet carry four splayed trestle posts; each pair of posts is tied at the base by a plinth board and a bolster stretcher and at the head by a capital under-rail, making each end a rigid frame; the frames are tied to each other twice, low down by the medial shelf slab and high up by the drawer carcase, giving a closed racking loop in the long direction. Because 152 cm is too long for an unsuppo"
FC-04-1969_262,"1969.262 (Cleveland Museum of Art) — ""Game Table,"" style of George Hepplewhite, Baltimore, Maryland, c. 1800; mahogany with inlays of various woods; overall 73.8 x 99.7 x 49.1 cm; CC0; 13 views (primary + alt0–alt11), including two undersides, a square rear elevation, closed and open states, and one raking rear-corner detail.","1. The opened playing surface (alt2) is bare mahogany, but no raking view resolves whether the object ever carried a baize or textile lining, or registration pins between the leaves — so I record no textile support at all rather than guessing. 2. Apron-to-leg joinery is never exposed; mortise-and-tenon is likely but nothing in 13 views shows a tenon, pin or dowel at that junction. 3. Whether the apron is one bricked/sawn band or three members meeting at the corner posts cannot be settled — the c","The construction evidence overturns the front elevation completely. From the front (primary image) this reads as a fixed serpentine side table. The rear elevation and the two underside views show it is a two-state mechanism. A fixed leaf is screwed down to a frame of one serpentine front apron, two quadrant-curved end aprons and one plain rear rail; a second leaf is hinged to the first by two brass hinges mortised into the mating board edges; and a fly rail carrying a fifth leg pivots on a pin-a"
FC-05-69_146_3,69.146.3,"The six Met views are one closed three-quarter overall, one open three-quarter overall, and four macro details of ornament. What they do not resolve: (1) no rear view at all, so the back board construction is unknown; (2) no underside or feet-detail from below, so how the bun feet attach and whether the base is framed or boarded is unknown; (3) no drawer is withdrawn, so drawer sides, bottoms, dovetails, runners, guides, kickers, stops and any dust boards are pure type inference; (4) no hinge is","Sides are frame-and-panel: two stiles and intermediate rails enclosing three stacked recessed panels, which means the case is a joined frame carcass, not a slab box — panels can float and the corner stiles carry the load down to the feet. The front corner stiles run unbroken from the cornice to the plinth, and the rear stiles run unbroken to the floor and form their own square feet, so only the two front feet are separate turned members. The interior nest reads as a self-contained cabinet droppe"
FC-06-69_146_2,69.146.2,"No underside view at all - foot-to-post attachment (tenon, dowel or screwed pad), the presence or absence of castors on the rear feet, and the case bottom's fixing are unresolved. No exterior view of the back, so its outer face, its fixing to the carcass, and the total panel count are unknown. No full side elevation, so the side frame's stile/rail proportions and whether the rear post is reeded are unknown. Only ONE drawer was removed and photographed (the shallow frieze drawer), so I cannot con","The drawers-out carcass photograph is the payoff and it overturns what the front elevation implies. The case is not a solid-sided box: both case sides AND the back are genuine frame-and-panel, with stiles, rails, a vertical muntin in the back and captured floating panels - the back panels run continuously past two drawer levels, which is how you can tell there are NO dust boards between tiers. Each drawer instead rides on quarter-sawn strips screwed (not housed) to the case side and to both face"
FC-07-1999_79,1999.79,"Ten images, and all ten are frontal or very near frontal. There is no rear view, no underside, no true side elevation, no top-down view, no door open, no drawer pulled, and no detail of any hinge. Consequences: the back construction and how the piece is closed are unknown; the drawer boxes, runners, guides and kickers are asserted from type only; the hinging of all eight leaves, including how the long glazed crest front opens, is unknown; whether the open end bays are closed, open or glazed at t","Must be modelled without evidence: drawer boxes with sides, backs and bottoms plus their runners, guides and kickers; butt hinges on the inner faces of seven or eight leaves; lock bodies behind eight escutcheon plates; the boards behind the velvet lining and how they are fixed; corner blocking behind four unstretchered tapered leg-stiles carrying a 180 cm case; the housings that let the four slender shelf sticks and six shelves into the bay backs and sides; how the raised crest case is fixed dow"
FC-08-69_140ab,"69.140a, b","No underside or top-down view exists, so the top slab surface, the case bottom construction, and the foot attachment are unrecorded. No drawer was removed or opened in any of the ten views - every internal drawer part (sides, bottom, runners, guides, stops) is asserted from type alone, and dovetail form, secondary wood, and whether a centre guide exists are all unknown. Whether the case sides are true frame-and-panel or solid boards with applied mouldings cannot be settled: the interior faces re","What the rear and interior views actually prove: the case back is a made frame-and-panel unit - two stiles, top and bottom rails, two muntins, three floating cherry panels - stamped HERTER BRO'S on the back of the top rail and SCREWED into the carcass rebate, not nailed or glued, with slotted screws visible along the lower rail and down both stiles. Below it, the drawer case is closed by a completely separate single wide plank back board, also screwed. Two different back constructions on one obj"
FC-08-2019_59,2019.59,"Drawer corner joinery is not resolvable — even at print resolution I cannot tell whether the drawer sides are dovetailed or nailed into a rabbet on the front. Hinge count per door is not resolvable; I can confirm two iron leaves per door but the door stiles are partly shadowed and there may be a third. Pintle versus fixed pin is not resolvable; a knuckle/barrel is visible but not its construction, so I cannot say whether the doors lift off. No lock body appears on either inner door face in the o","The record is unusually generous about what is normally hidden. The object is a two-part knockdown: the plinth separates completely and is photographed alone from the front, from above with drawers closed and open, and from directly underneath. Consequences visible only in those views: the drawers are open-topped boxes and are closed by the underside of the case that sits on them, so no drawer top rail or dust board exists; they ride on plain nailed runner strips let into a narrow well at each e"
FC-09-69_146_1,69.146.1,"Five views, all public domain and high resolution, but they are far less independent than the count suggests: DP-32854-001 and the legacy plate 193954 are the same three-quarter angle from the foot-right, DP-32854-004 is a macro of the headboard panel that also appears in 003, and 002 and 003 are frontal details of the footboard and headboard. There is NO rear view, NO underside, NO end elevation, and NO view of a detached side rail. Consequently: the headboard's back face and rear framing are e","Asserted from type, not seen: the spindles are tenoned into the top and middle rails at both ends (the shoulders are visible, the tenons are not); the marquetry panels float in grooves in their surrounding frames rather than being glued rigid; the marquetry itself is veneer laid on a substrate, not solid — no edge is shown that would prove it; the side rails carry inner ledgers for loose slats; each rail end houses an iron hook plate that drops over the two exposed pintles, which makes the whole"
FC-09-1954_151,1954.151,"1. NO UNDERSIDE OR PLAN VIEW. There is no shot looking up at the frame or down into it, so the bed base is unresolved: no view shows sangles, slats, or a boarded sommier. The rebate on the inner rail face is visible but what sits on it is not.
2. UPHOLSTERY FOUNDATION IS SEALED. Both faces of each end are covered, so webbing, ground canvas, stuffing type and edge roll are all unverifiable. Padding mass and webbing are asserted from type only.
3. FOOT-END INNER FACE NEVER PHOTOGRAPHED. Three of t","The rear and joint views are what make this candidate valuable, and they are unusually explicit.

KNOCKDOWN JOINT FULLY EXPOSED (alt7, alt8). Each side-rail end is cut as a projecting block with two horizontal slots. Two round-headed iron pins sit in those slots, and each head is pierced by a rectangular slot to take a tapered key. The rail therefore hooks into the post and locks — the bed is designed to come apart at four joints. Large plugged dowels are visible in the rail beside the joint.

S"
FC-10-1971_281,1971.281,"The four views (front, three-quarter, rear, open) do not resolve: the joint sections themselves — mortise depth, tenon shoulders, groove widths for the panels and the side boards are all inferred from the peg lines, never seen. No underside-of-carcass view, so how the bottom boards are carried (grooved into the lower rails vs. laid and nailed) is unknown, as is the board count and run direction. The hinge pivot type is unresolved — these read as strap hinges with an integral knuckle, but a drive","The whole joinery logic is legible by inference but not by sight. The front is a pegged mortise-and-tenon frame: upper and lower rails tenoned into the corner stiles and into the two muntins, with draw-bore pegs standing proud at every crossing. The three linenfold panels float in grooves in that frame — they are not glued or nailed, evidenced by the fact that the frame reads as a continuous surface with the panels stepped back behind a chamfer. The side boards are single wide planks housed into"
FC-10-1984_161,"1984.161 (Cleveland Museum of Art) — ""Chest"", oak and pine, America, Massachusetts, perhaps Salem, c. 1700; 77.5 x 115.3 x 53.7 cm; CC0. Object as seen: a joined, lift-top oak chest-over-drawer (one long drawer), frame-and-panel front of three bays with applied geometric mouldings, applied split spindles, turned ball feet, interior till at the right end, mortised iron lock.","Not resolved by the three available views: (1) the rear exterior is never photographed — the rear stiles, rear base moulding, rear feet, and how the back boards are fixed at the outside are all unseen; (2) the underside is never shown, so foot fixing (dowel into plinth vs into stile), the plinth's return at the back, and the bottom-board bearing are unverified; (3) the lid hinge is completely hidden behind the raised lid — iron leaf vs wooden pintle is unknown, and I refuse to assert either; (4)","What the interior view does prove, beyond appearance: the front is a true joined frame-and-panel wall, not a carved slab — the three ornamented bays are separate floating panels held by two muntins and top/mid rails, and the applied mouldings are a surface layer glued over that frame. The back is NOT panelled: it is a field of vertical riven oak boards, feather-edged and nailed, i.e. a cheap secondary elevation behind a show front — a construction asymmetry worth preserving in the asset because "
